|       | 007 Racing                                                                                      | Electronic Arts               | PlayStation | 2000 | North America
|       | Monsterseed                                                                                     | SunSoft                       | PlayStation | 1999 | North America
|       | Mort the Chicken                                                                                | Crave                         | PlayStation | 2000 | North America
|       | Mortal Kombat 3                                                                                 | SCEA                          | PlayStation | 1995 | North America
|       | Mortal Kombat 4                                                                                 | Midway                        | PlayStation | 1998 | North America
|       | Mortal Kombat Mythologies: Sub-Zero                                                             | Midway                        | PlayStation | 1997 | North America
|       | Mortal Kombat Trilogy                                                                           | Midway                        | PlayStation | 1996 | North America
|       | Mortal Kombat: Special Forces                                                                   | Midway                        | PlayStation | 2000 | North America
|       | Moto Racer                                                                                      | Electronic Arts               | PlayStation | 1997 | North America
|       | Moto Racer 2                                                                                    | EA Sports                     | PlayStation | 1998 | North America
|       | Moto Racer World Tour                                                                           | Infogrames                    | PlayStation | 2000 | North America
|       | Motocross Mania                                                                                 | Take-Two Interactive          | PlayStation | 2001 | North America
|       | Motocross Mania 2                                                                               | Gotham Games                  | PlayStation | 2003 | North America
|       | Motor Toon Grand Prix                                                                           | SCEA                          | PlayStation | 1996 | North America
|       | Motorhead                                                                                       | Fox Interactive               | PlayStation | 1998 | North America
|       | Mr. Driller                                                                                     | Namco                         | PlayStation | 2000 | North America
|       | Ms. Pac-Man Maze Madness                                                                        | Namco                         | PlayStation | 2000 | North America
|       | MTV Music Generator                                                                             | Codemasters                   | PlayStation | 1999 | North America
|       | MTV Sports: Pure Ride                                                                           | THQ                           | PlayStation | 2000 | North America
|       | MTV Sports: Skateboarding featuring Andy Macdonald                                              | THQ                           | PlayStation | 2000 | North America
|       | MTV Sports: Snowboarding                                                                        | THQ                           | PlayStation | 1999 | North America
|       | MTV Sports: T.J. Lavin's Ultimate BMX                                                           | THQ                           | PlayStation | 2001 | North America
|       | MTV's Celebrity Deathmatch                                                                      | Gotham Games                  | PlayStation | 2003 | North America
|       | Mummy, The                                                                                      | Konami                        | PlayStation | 2000 | North America
|       | Muppet Monster Adventure                                                                        | Midway                        | PlayStation | 2000 | North America
|       | Muppet RaceMania                                                                                | Midway                        | PlayStation | 2000 | North America
|       | My Disney Kitchen                                                                               | Bam Entertainment             | PlayStation | 2002 | North America
|       | Myst                                                                                            | Psygnosis                     | PlayStation | 1996 | North America
|       | N2O: Nitrous Oxide                                                                              | Fox Interactive               | PlayStation | 1998 | North America
|       | Nagano Winter Olympics '98                                                                      | Konami                        | PlayStation | 1997 | North America
|       | Namco Demo CD                                                                                   | Namco                         | PlayStation | 1997 | North America
|       | Namco Museum Vol. 1                                                                             | Namco                         | PlayStation | 1996 | North America
|       | Namco Museum Vol. 2                                                                             | Namco                         | PlayStation | 1996 | North America
|       | Namco Museum Vol. 3                                                                             | Namco                         | PlayStation | 1998 | North America
|       | Namco Museum Vol. 4                                                                             | Namco                         | PlayStation | 1997 | North America
|       | Namco Museum Vol. 5                                                                             | Namco                         | PlayStation | 1997 | North America
|       | Nanotek Warrior                                                                                 | Virgin Interactive            | PlayStation | 1997 | North America
|       | NASCAR 2000                                                                                     | EA Sports                     | PlayStation | 1999 | North America
|       | NASCAR 2001                                                                                     | EA Sports                     | PlayStation | 2000 | North America
|       | NASCAR 98                                                                                       | EA Sports                     | PlayStation | 1997 | North America
|       | NASCAR 99                                                                                       | EA Sports                     | PlayStation | 1998 | North America
|       | NASCAR Heat                                                                                     | Hasbro Interactive            | PlayStation | 2000 | North America
|       | NASCAR Racing                                                                                   | Sierra Entertainment          | PlayStation | 1996 | North America
|       | NASCAR Rumble                                                                                   | Electronic Arts               | PlayStation | 2000 | North America
|       | NASCAR Thunder 2002                                                                             | EA Sports                     | PlayStation | 2001 | North America
|       | NASCAR Thunder 2003                                                                             | Electronic Arts               | PlayStation | 2002 | North America
|       | NASCAR Thunder 2004                                                                             | Electronic Arts               | PlayStation | 2003 | North America
|       | NBA Basketball 2000                                                                             | Fox Interactive               | PlayStation | 1999 | North America
|       | NBA Fastbreak '98                                                                               | Midway                        | PlayStation | 1997 | North America
|       | NBA Hang Time                                                                                   | Midway                        | PlayStation | 1997 | North America
|       | NBA Hoopz                                                                                       | Midway                        | PlayStation | 2001 | North America
|       | NBA In The Zone                                                                                 | Konami                        | PlayStation | 1995 | North America
|       | NBA In The Zone '98                                                                             | Konami                        | PlayStation | 1998 | North America
|       | NBA In The Zone '99                                                                             | Konami                        | PlayStation | 1999 | North America
|       | NBA In The Zone 2000                                                                            | Konami                        | PlayStation | 2000 | North America
|       | NBA Jam Extreme                                                                                 | Acclaim                       | PlayStation | 1996 | North America
|       | NBA Jam Tournament Edition                                                                      | Acclaim                       | PlayStation | 1995 | North America
|       | NBA Live 2000                                                                                   | EA Sports                     | PlayStation | 1999 | North America
|       | NBA Live 2001                                                                                   | EA Sports                     | PlayStation | 2000 | North America
|       | NBA Live 2002                                                                                   | Electronic Arts               | PlayStation | 2001 | North America
|       | NBA Live 2002 / Madden 2002 / NASCAR Thunder 2002 - EA Sports Collector's Edition               | Electronic Arts               | PlayStation | 2002 | North America
|       | NBA Live 2003                                                                                   | Electronic Arts               | PlayStation | 2002 | North America
|       | NBA Live 96                                                                                     | Electronic Arts               | PlayStation | 1996 | North America
|       | NBA Live 97                                                                                     | EA Sports                     | PlayStation | 1996 | North America
|       | NBA Live 98                                                                                     | Electronic Arts               | PlayStation | 1997 | North America
|       | NBA Live 99                                                                                     | Electronic Arts               | PlayStation | 1998 | North America
|       | NBA ShootOut                                                                                    | SCEA                          | PlayStation | 1996 | North America
|       | NBA ShootOut '97                                                                                | SCEA                          | PlayStation | 1997 | North America
|       | NBA ShootOut 2000                                                                               | 989 Sports                    | PlayStation | 1999 | North America
|       | NBA ShootOut 2001                                                                               | SCEA                          | PlayStation | 2000 | North America
|       | NBA ShootOut 2002                                                                               | SCEA                          | PlayStation | 2001 | North America
|       | NBA ShootOut 2003                                                                               | 989 Studios                   | PlayStation | 2002 | North America
|       | NBA ShootOut 2004                                                                               | SCEA                          | PlayStation | 2003 | North America
|       | NBA ShootOut 98                                                                                 | SCEA                          | PlayStation | 1998 | North America
|       | NBA Showtime: NBA on NBC                                                                        | Midway                        | PlayStation | 1999 | North America
|       | NCAA Basketball Final Four 97                                                                   | Mindscape Inc.                | PlayStation | 1997 | North America
|       | NCAA Final Four 2000                                                                            | 989 Sports                    | PlayStation | 1999 | North America
|       | NCAA Final Four 2001                                                                            | SCEA                          | PlayStation | 2000 | North America
|       | NCAA Final Four 99                                                                              | 989 Sports                    | PlayStation | 1998 | North America
|       | NCAA Football 2000                                                                              | EA Sports                     | PlayStation | 1999 | North America
|       | NCAA Football 2001                                                                              | EA Sports                     | PlayStation | 2000 | North America
|       | NCAA Football 98                                                                                | Electronic Arts               | PlayStation | 1997 | North America
|       | NCAA Football 99                                                                                | EA Sports                     | PlayStation | 1998 | North America
|       | NCAA GameBreaker                                                                                | SCEA                          | PlayStation | 1996 | North America
|       | NCAA GameBreaker 2000                                                                           | 989 Sports                    | PlayStation | 1999 | North America
|       | NCAA GameBreaker 2001                                                                           | SCEA                          | PlayStation | 2000 | North America
|       | NCAA GameBreaker 98                                                                             | SCEA                          | PlayStation | 1997 | North America
|       | NCAA GameBreaker 99                                                                             | 989 Sports                    | PlayStation | 1998 | North America
|       | NCAA March Madness '98                                                                          | Electronic Arts               | PlayStation | 1998 | North America
|       | NCAA March Madness 2000                                                                         | EA Sports                     | PlayStation | 1999 | North America
|       | NCAA March Madness 2001                                                                         | EA Sports                     | PlayStation | 2000 | North America
|       | NCAA March Madness 99                                                                           | EA Sports                     | PlayStation | 1998 | North America
|       | Nectaris: Military Madness                                                                      | Jaleco Entertainment          | PlayStation | 1998 | North America
|       | Need for Speed II                                                                               | Electronic Arts               | PlayStation | 1997 | North America
|       | Need for Speed III: Hot Pursuit                                                                 | Electronic Arts               | PlayStation | 1998 | North America
|       | Need for Speed: High Stakes                                                                     | Electronic Arts               | PlayStation | 1999 | North America
|       | Need for Speed: Porsche Unleashed                                                               | Electronic Arts               | PlayStation | 2000 | North America
|       | Need for Speed: V-Rally                                                                         | Electronic Arts               | PlayStation | 1997 | North America
|       | Need for Speed: V-Rally 2                                                                       | Electronic Arts               | PlayStation | 1999 | North America
|       | Newman/Haas Racing                                                                              | Psygnosis                     | PlayStation | 1998 | North America
|       | Next Tetris, The                                                                                | Atari                         | PlayStation | 1999 | North America
|       | NFL Blitz                                                                                       | Midway                        | PlayStation | 1998 | North America
|       | NFL Blitz 2000                                                                                  | Midway                        | PlayStation | 1999 | North America
|       | NFL Blitz 2001                                                                                  | Midway                        | PlayStation | 2000 | North America
|       | NFL Full Contact                                                                                | Konami                        | PlayStation | 1996 | North America
|       | NFL GameDay                                                                                     | SCEA                          | PlayStation | 1996 | North America
|       | NFL GameDay '97                                                                                 | SCEA                          | PlayStation | 1996 | North America
|       | NFL GameDay 2000                                                                                | 989 Sports                    | PlayStation | 1999 | North America
|       | NFL GameDay 2001                                                                                | SCEA                          | PlayStation | 2000 | North America
|       | NFL GameDay 2002                                                                                | SCEA                          | PlayStation | 2001 | North America
|       | NFL GameDay 2003                                                                                | SCEA                          | PlayStation | 2002 | North America
|       | NFL GameDay 2004                                                                                | SCEA                          | PlayStation | 2003 | North America
|       | NFL GameDay 2005                                                                                | 989 Sports                    | PlayStation | 2004 | North America
|       | NFL GameDay 98                                                                                  | SCEA                          | PlayStation | 1997 | North America
|       | NFL GameDay 99                                                                                  | 989 Sports                    | PlayStation | 1998 | North America
|       | NFL Quarterback Club 97                                                                         | Acclaim                       | PlayStation | 1996 | North America
|       | NFL Xtreme                                                                                      | SCEA                          | PlayStation | 1998 | North America
|       | NFL Xtreme 2                                                                                    | 989 Sports                    | PlayStation | 1999 | North America
|       | NGEN Racing                                                                                     | Infogrames                    | PlayStation | 2000 | North America
|       | NHL 2 on 2 Open Ice Challenge                                                                   | Midway                        | PlayStation | 1996 | North America
|       | NHL 2000                                                                                        | EA Sports                     | PlayStation | 1999 | North America
|       | NHL 2001                                                                                        | EA Sports                     | PlayStation | 2000 | North America
|       | NHL 97                                                                                          | EA Sports                     | PlayStation | 1996 | North America
|       | NHL 98                                                                                          | EA Sports                     | PlayStation | 1997 | North America
|       | NHL 99                                                                                          | EA Sports                     | PlayStation | 1998 | North America
|       | NHL Blades of Steel 2000                                                                        | Konami                        | PlayStation | 2000 | North America
|       | NHL Breakaway 98                                                                                | Acclaim                       | PlayStation | 1997 | North America
|       | NHL Championship 2000                                                                           | Fox Interactive               | PlayStation | 1999 | North America
|       | NHL Faceoff                                                                                     | SCEA                          | PlayStation | 1995 | North America
|       | NHL FaceOff '97                                                                                 | SCEA                          | PlayStation | 1996 | North America
|       | NHL FaceOff 2000                                                                                | 989 Sports                    | PlayStation | 1999 | North America
|       | NHL FaceOff 2001                                                                                | SCEA                          | PlayStation | 2000 | North America
|       | NHL FaceOff 98                                                                                  | SCEA                          | PlayStation | 1997 | North America
|       | NHL FaceOff 99                                                                                  | 989 Sports                    | PlayStation | 1998 | North America
|       | NHL Powerplay 96                                                                                | Virgin Interactive            | PlayStation | 1996 | North America
|       | NHL Powerplay 98                                                                                | Virgin Interactive            | PlayStation | 1997 | North America
|       | NHL Rock the Rink                                                                               | Electronic Arts               | PlayStation | 2000 | North America
|       | NickToons Racing                                                                                | Hasbro Interactive            | PlayStation | 2001 | North America
|       | Nightmare Creatures                                                                             | Activision                    | PlayStation | 1997 | North America
|       | Nightmare Creatures II                                                                          | Konami                        | PlayStation | 2000 | North America
|       | Ninja: Shadow of Darkness                                                                       | Eidos Interactive             | PlayStation | 1998 | North America
|       | No Fear Downhill Mountain Biking                                                                | Codemasters                   | PlayStation | 1999 | North America
|       | No One Can Stop Mr. Domino                                                                      | Acclaim                       | PlayStation | 1998 | North America
|       | Norse by Norsewest: The Return of the Lost Vikings                                              | Interplay                     | PlayStation | 1997 | North America
|       | Novastorm                                                                                       | Psygnosis                     | PlayStation | 1995 | North America
|       | Nuclear Strike                                                                                  | Electronic Arts               | PlayStation | 1997 | North America
|       | O.D.T.: Escape... Or Die Trying                                                                 | Psygnosis                     | PlayStation | 1998 | North America
|       | Oddworld: Abe's Exoddus                                                                         | GT Interactive                | PlayStation | 1998 | North America
|       | Oddworld: Abe's Oddysee                                                                         | GT Interactive                | PlayStation | 1997 | North America
|       | Off-World Interceptor Extreme                                                                   | Crystal Dynamics              | PlayStation | 1995 | North America
|       | Ogre Battle: The March of the Black Queen                                                       | ATLUS                         | PlayStation | 1997 | North America
|       | Olympic Soccer: Atlanta 1996                                                                    | Eidos Interactive             | PlayStation | 1996 | North America
|       | Olympic Summer Games: Atlanta 1996                                                              | Eidos Interactive             | PlayStation | 1996 | North America
|       | Omega Boost                                                                                     | SCEA                          | PlayStation | 1999 | North America
|       | One                                                                                             | ASC Games                     | PlayStation | 1997 | North America
|       | One Piece: Mansion                                                                              | Capcom                        | PlayStation | 2001 | North America
|       | Online Connection CD: For the PlayStation Game Console                                          | Lightspan                     | PlayStation | 1997 | North America
|       | OverBlood                                                                                       | Electronic Arts               | PlayStation | 1997 | North America
|       | P.K.'s Math Studio                                                                              | Lightspan                     | PlayStation | 1997 | North America
|       | P.K.'s Place 1: Party on the Patio!                                                             | Lightspan                     | PlayStation | 1997 | North America
|       | P.K.'s Place 2: Hoopo at Sea!                                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | P.K.'s Place 3: Carlos at the Races!                                                            | Lightspan                     | PlayStation | 1997 | North America
|       | P.K.'s Place 4: Daphne and the Seventh Wonder                                                   | Lightspan                     | PlayStation | 1997 | North America
|       | Pac-Man World                                                                                   | Namco                         | PlayStation | 1999 | North America
|       | Pajama Sam: You are What you Eat from Your Head to Your Feet                                    | Infogrames                    | PlayStation | 2001 | North America
|       | Pandemonium 2                                                                                   | Midway                        | PlayStation | 1997 | North America
|       | Pandemonium!                                                                                    | Crystal Dynamics              | PlayStation | 1996 | North America
|       | Panzer Front                                                                                    | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Panzer General                                                                                  | SSI                           | PlayStation | 1996 | North America
|       | PaRappa The Rapper                                                                              | SCEA                          | PlayStation | 1997 | North America
|       | Parasite Eve                                                                                    | Square EA                     | PlayStation | 1998 | North America
|       | Parasite Eve II                                                                                 | Square EA                     | PlayStation | 2000 | North America
|       | Patriotic Pinball                                                                               | Gotham Games                  | PlayStation | 2003 | North America
|       | Peak Performance                                                                                | ATLUS                         | PlayStation | 1997 | North America
|       | Pepsi PlayStation Sampler                                                                       | SCEA                          | PlayStation | 1997 | North America
|       | Perfect Weapon                                                                                  | ASC Games                     | PlayStation | 1996 | North America
|       | Persona                                                                                         | ATLUS                         | PlayStation | 1996 | North America
|       | Persona 2: Eternal Punishment                                                                   | ATLUS                         | PlayStation | 2000 | North America
|       | Peter Jacobsen's Golden Tee Golf                                                                | Infogrames                    | PlayStation | 2000 | North America
|       | Peter Pan in Disney's Return to Neverland                                                       | SCEA                          | PlayStation | 2002 | North America
|       | PGA Tour 96                                                                                     | Electronic Arts               | PlayStation | 1995 | North America
|       | PGA Tour 97                                                                                     | EA Sports                     | PlayStation | 1996 | North America
|       | PGA Tour 98                                                                                     | Electronic Arts               | PlayStation | 1997 | North America
|       | Philosoma                                                                                       | SCEA                          | PlayStation | 1996 | North America
|       | Phix: The Adventure                                                                             | Agetec Inc.                   | PlayStation | 2003 | North America
|       | Pink Panther: Pinkadelic Pursuit                                                                | DreamCatcher Interactive      | PlayStation | 2003 | North America
|       | Pinobee                                                                                         | Hudson                        | PlayStation | 2003 | North America
|       | Pipe Dreams 3D                                                                                  | Empire Interactive            | PlayStation | 2001 | North America
|       | Pitball                                                                                         | Accolade                      | PlayStation | 1996 | North America
|       | Pitfall 3D: Beyond the Jungle                                                                   | Activision                    | PlayStation | 1998 | North America
|       | Pizza Hut Demo CD                                                                               | SCEA                          | PlayStation | 1998 | North America
|       | Pizza Hut Sampler Disc One                                                                      | SCEA                          | PlayStation | 1999 | North America
|       | Pizza Hut Sampler Disc Two                                                                      | SCEA                          | PlayStation | 1998 | North America
|       | Planet of the Apes                                                                              | Ubisoft                       | PlayStation | 2002 | North America
|       | Play with the Teletubbies                                                                       | BBC Multimedia                | PlayStation | 2000 | North America
|       | Playstation Demo Disc 1.4                                                                       | SCEA                          | PlayStation | 2001 | North America
|       | Playstation Demo Disc 1.5                                                                       | SCEA                          | PlayStation | 2002 | North America
|       | PlayStation Demo Disc Spring 2000                                                               | SCEA                          | PlayStation | 2000 | North America
|       | PlayStation Picks                                                                               | SCEA                          | PlayStation | 1995 | North America
|       | PlayStation Picks                                                                               | SCEA                          | PlayStation | 1996 | North America
|       | Playstation Shock Your System                                                                   | SCEA                          | PlayStation | 1999 | North America
|       | Playstation Underground Vol. 2 Issue 1                                                          | SCEA                          | PlayStation | 1998 | North America
|       | PO'ed                                                                                           | Accolade                      | PlayStation | 1997 | North America
|       | Pocket Fighter                                                                                  | Capcom                        | PlayStation | 1998 | North America
|       | Point Blank                                                                                     | Namco                         | PlayStation | 1998 | North America
|       | Point Blank 2                                                                                   | Namco                         | PlayStation | 1999 | North America
|       | Point Blank 3                                                                                   | Namco                         | PlayStation | 2001 | North America
|       | Polaris SnoCross                                                                                | Vatical Entertainment         | PlayStation | 2000 | North America
|       | Pong: The Next Level                                                                            | Hasbro Interactive            | PlayStation | 1999 | North America
|       | Pool Hustler                                                                                    | Activision                    | PlayStation | 1998 | North America
|       | Populous: The Beginning                                                                         | Electronic Arts               | PlayStation | 1999 | North America
|       | Porsche Challenge                                                                               | SCEA                          | PlayStation | 1997 | North America
|       | Power Move Pro Wrestling                                                                        | Activision                    | PlayStation | 1997 | North America
|       | Power Play: Sports Trivia                                                                       | Ubisoft                       | PlayStation | 2002 | North America
|       | Power Rangers Zeo: Full Tilt Battle Pinball                                                     | Bandai                        | PlayStation | 1996 | North America
|       | Power Rangers: Lightspeed Rescue                                                                | THQ                           | PlayStation | 2000 | North America
|       | Power Rangers: Time Force                                                                       | THQ                           | PlayStation | 2001 | North America
|       | Power Serve 3D Tennis                                                                           | Ocean                         | PlayStation | 1996 | North America
|       | Power Shovel                                                                                    | Acclaim                       | PlayStation | 2001 | North America
|       | Power Spike Pro Beach Volleyball                                                                | Infogrames                    | PlayStation | 2000 | North America
|       | Powerpuff Girls: Chemical X-Traction, The                                                       | Bam Entertainment             | PlayStation | 2001 | North America
|       | PowerSlave                                                                                      | Playmates                     | PlayStation | 1997 | North America
|       | Poy Poy                                                                                         | Konami                        | PlayStation | 1997 | North America
|       | Primal Rage                                                                                     | Time Warner Interactive       | PlayStation | 1995 | North America
|       | Pro 18: World Tour Golf                                                                         | Psygnosis                     | PlayStation | 1999 | North America
|       | Pro Pinball                                                                                     | Interplay                     | PlayStation | 1996 | North America
|       | Pro Pinball: Big Race USA                                                                       | Empire Interactive            | PlayStation | 2000 | North America
|       | Pro Pinball: Fantastic Journey                                                                  | Take-Two Interactive          | PlayStation | 2000 | North America
|       | Pro Pinball: Timeshock!                                                                         | Empire Interactive            | PlayStation | 1998 | North America
|       | Professional Underground League of Pain                                                         | Psygnosis                     | PlayStation | 1997 | North America
|       | Project Overkill                                                                                | Konami                        | PlayStation | 1996 | North America
|       | Project: Horned Owl                                                                             | SCEA                          | PlayStation | 1996 | North America
|       | PSone Wherever, Whenever, Forever.                                                              | SCEA                          | PlayStation | 2001 | North America
|       | Psybadek                                                                                        | Psygnosis                     | PlayStation | 1998 | North America
|       | Psychic Detective                                                                               | Electronic Arts               | PlayStation | 1995 | North America
|       | Psychic Force                                                                                   | Acclaim                       | PlayStation | 1997 | North America
|       | Punky Skunk                                                                                     | Jaleco Entertainment          | PlayStation | 1998 | North America
|       | Putter Golf                                                                                     | Agetec Inc.                   | PlayStation | 2001 | North America
|       | Puzzle Star Sweep                                                                               | A1 Games                      | PlayStation | 2001 | North America
|       | Puzznic                                                                                         | Mud Duck Productions          | PlayStation | 2003 | North America
|       | Q*bert                                                                                          | Hasbro Interactive            | PlayStation | 1999 | North America
|       | Qix Neo                                                                                         | Mud Duck Productions          | PlayStation | 2003 | North America
|       | Quaddle Family Mysteries 1: The Case of the Scarce Scarab: Lobby: Kitchen, The                  | Lightspan                     | PlayStation | 1997 | North America
|       | Quaddle Family Mysteries 2: The Case of the Scarce Scarab: Garden, The                          | Lightspan                     | PlayStation | 1997 | North America
|       | Quaddle Family Mysteries 3: The Case of the Scarce Scarab: Parlor: Family Room, The             | Lightspan                     | PlayStation | 1997 | North America
|       | Quake II                                                                                        | Activision                    | PlayStation | 1999 | North America
|       | R-Type Delta                                                                                    | Irem                          | PlayStation | 1999 | North America
|       | R-Types                                                                                         | ASCII Entertainment           | PlayStation | 1999 | North America
|       | R/C Stunt Copter                                                                                | Titus Software                | PlayStation | 1999 | North America
|       | R4: Ridge Racer Type 4                                                                          | Namco                         | PlayStation | 1999 | North America
|       | Racing                                                                                          | A1 Games                      | PlayStation | 2001 | North America
|       | Rage Racer                                                                                      | Namco                         | PlayStation | 1997 | North America
|       | Rageball                                                                                        | Agetec Inc.                   | PlayStation | 2002 | North America
|       | Raiden Project, The                                                                             | SCEA                          | PlayStation | 1995 | North America
|       | Railroad Tycoon II                                                                              | Take-Two Interactive          | PlayStation | 2000 | North America
|       | Rally Cross                                                                                     | SCEA                          | PlayStation | 1997 | North America
|       | Rally Cross 2                                                                                   | 989 Studios                   | PlayStation | 1998 | North America
|       | Rampage 2: Universal Tour                                                                       | Midway                        | PlayStation | 1999 | North America
|       | Rampage Through Time                                                                            | Midway                        | PlayStation | 2000 | North America
