|       | 007 Legends                                                                             | Activision                             | PlayStation 3 | 2012 | Europe
|       | DJ Hero 2                                                                               | Activision                             | PlayStation 3 | 2010 | Europe
|       | DmC: Devil May Cry                                                                      | Capcom                                 | PlayStation 3 | 2013 | Europe
|       | Doctor Who: The Eternity Clock                                                          | BBC Worldwide                          | PlayStation 3 | 2012 | Europe
|       | Don Bradman Cricket 14                                                                  | HES Interactive                        | PlayStation 3 | 2014 | Europe
|       | Doom 3 BFG Edition                                                                      | Bethesda Softworks                     | PlayStation 3 | 2012 | Europe
|       | Dragon Age II                                                                           | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Dragon Age: Inquisition                                                                 | Electronic Arts                        | PlayStation 3 | 2014 | Europe
|       | Dragon Age: Origins                                                                     | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | Dragon Age: Origins - Ultimate Edition                                                  | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Dragon Ball Z Budokai HD Collection                                                     | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Dragon Ball Z: Battle of Z                                                              | Namco Bandai Games                     | PlayStation 3 | 2014 | Europe
|       | Dragon Ball Z: Burst Limit                                                              | Atari SA                               | PlayStation 3 | 2008 | Europe
|       | Dragon Ball Z: Ultimate Tenkaichi                                                       | Namco Bandai Games                     | PlayStation 3 | 2011 | Europe
|       | Dragon Ball: Raging Blast                                                               | Namco Bandai Games                     | PlayStation 3 | 2009 | Europe
|       | Dragon Ball: Raging Blast 2                                                             | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Dragon Ball: Xenoverse                                                                  | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Dragon's Crown                                                                          | NIS America                            | PlayStation 3 | 2013 | Europe
|       | Dragon's Dogma                                                                          | Capcom                                 | PlayStation 3 | 2012 | Europe
|       | Dragon's Dogma: Dark Arisen                                                             | Capcom                                 | PlayStation 3 | 2013 | Europe
|       | Drakengard 3                                                                            | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | DreamWorks Kung Fu Panda 2                                                              | THQ                                    | PlayStation 3 | 2011 | Europe
|       | DreamWorks Madagascar Kartz                                                             | Activision                             | PlayStation 3 | 2009 | Europe
|       | DreamWorks Puss in Boots                                                                | THQ                                    | PlayStation 3 | 2011 | Europe
|       | DreamWorks Shrek Forever After                                                          | Activision                             | PlayStation 3 | 2010 | Europe
|       | DreamWorks Super Star Kartz                                                             | Activision                             | PlayStation 3 | 2011 | Europe
|       | Driver: San Francisco                                                                   | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Duke Nukem Forever                                                                      | 2K Games                               | PlayStation 3 | 2011 | Europe
|       | Dungeon Siege III                                                                       | Square Enix                            | PlayStation 3 | 2011 | Europe
|       | Dynasty Warriors 6                                                                      | Koei                                   | PlayStation 3 | 2008 | Europe
|       | Dynasty Warriors 6 Empires                                                              | Koei                                   | PlayStation 3 | 2009 | Europe
|       | Dynasty Warriors 7                                                                      | Koei Tecmo Games                       | PlayStation 3 | 2011 | Europe
|       | Dynasty Warriors 7 Empires                                                              | Koei Tecmo Games                       | PlayStation 3 | 2013 | Europe
|       | Dynasty Warriors 7: Xtreme Legends                                                      | Koei Tecmo Games                       | PlayStation 3 | 2011 | Europe
|       | Dynasty Warriors 8                                                                      | Koei Tecmo Games                       | PlayStation 3 | 2013 | Europe
|       | Dynasty Warriors 8: Xtreme Legends                                                      | Tecmo Koei Games                       | PlayStation 3 | 2014 | Europe
|       | Dynasty Warriors: Gundam                                                                | Koei                                   | PlayStation 3 | 2007 | Europe
|       | Dynasty Warriors: Gundam 2                                                              | Koei                                   | PlayStation 3 | 2009 | Europe
|       | Dynasty Warriors: Gundam 3                                                              | Namco Bandai Games                     | PlayStation 3 | 2011 | Europe
|       | Dynasty Warriors: Gundam Reborn                                                         | Koei Tecmo Games                       | PlayStation 3 | 2014 | Europe
|       | Dynasty Warriors: Strikeforce                                                           | Koei                                   | PlayStation 3 | 2010 | Europe
|       | EA Sports Active 2                                                                      | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | EA Sports MMA                                                                           | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | Earth Defence Force: Insect Armageddon                                                  | D3Publisher                            | PlayStation 3 | 2011 | Europe
|       | Earth Defense Force 2025                                                                | D3Publisher                            | PlayStation 3 | 2014 | Europe
|       | Eat Lead: The Return of Matt Hazard                                                     | D3Publisher                            | PlayStation 3 | 2009 | Europe
|       | El Shaddai: Ascension of the Metatron                                                   | Ignition Entertainment                 | PlayStation 3 | 2011 | Europe
|       | Elder Scrolls IV: Oblivion - Game of the Year Edition, The                              | Bethesda Softworks                     | PlayStation 3 | 2007 | Europe
|       | Elder Scrolls IV: Oblivion, The                                                         | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Elder Scrolls V: Skyrim, The                                                            | Bethesda Softworks                     | PlayStation 3 | 2011 | Europe
|       | Enchanted Arms                                                                          | Ubisoft                                | PlayStation 3 | 2007 | Europe
|       | Enemy Front                                                                             | CI Games                               | PlayStation 3 | 2014 | Europe
|       | Enemy Territory: Quake Wars                                                             | Activision                             | PlayStation 3 | 2008 | Europe
|       | Enslaved: Odyssey to the West                                                           | Namco Bandai Games                     | PlayStation 3 | 2010 | Europe
|       | Escape Dead Island                                                                      | Deep Silver                            | PlayStation 3 | 2014 | Europe
|       | Eternal Sonata                                                                          | Atari SA                               | PlayStation 3 | 2009 | Europe
|       | Everybody's Golf World Tour                                                             | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Everyone Sing                                                                           | O-Games                                | PlayStation 3 | 2012 | Europe
|       | Evil Within, The                                                                        | Bethesda Softworks                     | PlayStation 3 | 2014 | Europe
|       | Eye of Judgement, The                                                                   | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | EyePet                                                                                  | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | EyePet & Friends                                                                        | SCEI                                   | PlayStation 3 | 2011 | Europe
|       | Eyepet: Move Edition                                                                    | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | F.E.A.R.                                                                                | Vivendi Games                          | PlayStation 3 | 2007 | Europe
|       | F.E.A.R. 2: Project Origin                                                              | Warner Bros. Interactive Entertainment | PlayStation 3 | 2009 | Europe
|       | F.E.A.R. 3                                                                              | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Europe
|       | F1 2010                                                                                 | Codemasters                            | PlayStation 3 | 2010 | Europe
|       | F1 2011                                                                                 | Codemasters                            | PlayStation 3 | 2011 | Europe
|       | F1 2012                                                                                 | Codemasters                            | PlayStation 3 | 2012 | Europe
|       | F1 2013                                                                                 | Codemasters                            | PlayStation 3 | 2013 | Europe
|       | F1 2014                                                                                 | Codemasters                            | PlayStation 3 | 2014 | Europe
|       | F1 Race Stars                                                                           | Codemasters                            | PlayStation 3 | 2012 | Europe
|       | FaceBreaker                                                                             | EA Sports                              | PlayStation 3 | 2008 | Europe
|       | Fairy Fencer F                                                                          | NIS America                            | PlayStation 3 | 2014 | Europe
|       | Fairytale Fights                                                                        | Playlogic                              | PlayStation 3 | 2009 | Europe
|       | Fallout 3                                                                               | Bethesda Softworks                     | PlayStation 3 | 2008 | Europe
|       | Fallout 3: Game of the Year Edition                                                     | Bethesda Softworks                     | PlayStation 3 | 2009 | Europe
|       | Fallout: New Vegas                                                                      | Bethesda Softworks                     | PlayStation 3 | 2010 | Europe
|       | Fallout: New Vegas - Ultimate Edition                                                   | Bethesda Softworks                     | PlayStation 3 | 2012 | Europe
|       | Family Guy: Back to the Multiverse                                                      | Activision                             | PlayStation 3 | 2012 | Europe
|       | Fantastic Four: Rise of the Silver Surfer                                               | Take-Two Interactive                   | PlayStation 3 | 2007 | Europe
|       | Far Cry 2                                                                               | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Far Cry 3                                                                               | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Far Cry 4                                                                               | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Far Cry: The Wild Expedition                                                            | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Farming Simulator                                                                       | Focus Home Interactive                 | PlayStation 3 | 2013 | Europe
|       | Farming Simulator 15                                                                    | Focus Home Interactive                 | PlayStation 3 | 2015 | Europe
|       | Fast & Furious: Showdown                                                                | Activision                             | PlayStation 3 | 2013 | Europe
|       | Ferrari Challenge Trofeo Pirelli                                                        | System 3                               | PlayStation 3 | 2008 | Europe
|       | Ferrari Challenge Trofeo Pirelli + Supercar Challenge                                   | System 3                               | PlayStation 3 | 2012 | Europe
|       | Ferrari: The Race Experience                                                            | System 3                               | PlayStation 3 | 2011 | Europe
|       | FIFA 08                                                                                 | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | FIFA 09                                                                                 | EA Sports                              | PlayStation 3 | 2008 | Europe
|       | FIFA 10                                                                                 | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | FIFA 11                                                                                 | EA Sports                              | PlayStation 3 | 2010 | Europe
|       | FIFA 12                                                                                 | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | FIFA 13                                                                                 | EA Sports                              | PlayStation 3 | 2012 | Europe
|       | FIFA 14                                                                                 | EA Sports                              | PlayStation 3 | 2013 | Europe
|       | FIFA 15                                                                                 | Electronic Arts                        | PlayStation 3 | 2014 | Europe
|       | FIFA 16                                                                                 | EA Sports                              | PlayStation 3 | 2015 | Europe
|       | FIFA 17                                                                                 | Electronic Arts                        | PlayStation 3 | 2016 | Europe
|       | FIFA 18                                                                                 | Electronic Arts                        | PlayStation 3 | 2017 | Europe
|       | FIFA Street                                                                             | EA Sports                              | PlayStation 3 | 2012 | Europe
|       | FIFA Street 3                                                                           | Electronic Arts                        | PlayStation 3 | 2008 | Europe
|       | Fight Night Champion                                                                    | EA Sports                              | PlayStation 3 | 2011 | Europe
|       | Fight Night Round 3                                                                     | EA Sports                              | PlayStation 3 | 2007 | Europe
|       | Fight Night Round 4                                                                     | EA Sports                              | PlayStation 3 | 2009 | Europe
|       | Fight, The                                                                              | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Fighting Edition: Tekken 6 / Tekken Tag Tournament 2 / SoulCalibur V                    | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Final Fantasy X / X-2 HD Remaster                                                       | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | Final Fantasy XIII                                                                      | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Final Fantasy XIII-2                                                                    | Square Enix                            | PlayStation 3 | 2012 | Europe
|       | Final Fantasy XIV Online: A Realm Reborn                                                | Square Enix                            | PlayStation 3 | 2013 | Europe
|       | Fireburst                                                                               | Black Inc.                             | PlayStation 3 | 2010 | Europe
|       | Fist of the North Star: Ken's Rage                                                      | Koei                                   | PlayStation 3 | 2010 | Europe
|       | Fist of the North Star: Ken's Rage 2                                                    | Koei Tecmo Games                       | PlayStation 3 | 2013 | Europe
|       | Folklore                                                                                | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Formula One Championship Edition                                                        | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Fracture                                                                                | LucasArts                              | PlayStation 3 | 2008 | Europe
|       | Fritz Chess                                                                             | Deep Silver                            | PlayStation 3 | 2009 | Europe
|       | Front Mission Evolved                                                                   | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Fuel                                                                                    | Codemasters                            | PlayStation 3 | 2009 | Europe
|       | Full Auto 2: Battlelines                                                                | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Fuse                                                                                    | Electronic Arts                        | PlayStation 3 | 2013 | Europe
|       | G-Force                                                                                 | Disney Interactive Studios             | PlayStation 3 | 2009 | Europe
|       | G.I. Joe: The Rise of Cobra                                                             | Electronic Arts                        | PlayStation 3 | 2009 | Europe
|       | G1 Jockey 4 2008                                                                        | Koei                                   | PlayStation 3 | 2008 | Europe
|       | Game of Thrones                                                                         | Focus Home Interactive                 | PlayStation 3 | 2012 | Europe
|       | Game of Thrones: A Telltale Games Series                                                | Telltale Games                         | PlayStation 3 | 2015 | Europe
|       | GamesAid: Triple Pack                                                                   | Mastertronic                           | PlayStation 3 | 2010 | Europe
|       | Generator Rex: Agent of Providence                                                      | Activision                             | PlayStation 3 | 2011 | Europe
|       | Genji: Days of the Blade                                                                | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Get Fit With Mel B                                                                      | Tradewest                              | PlayStation 3 | 2010 | Europe
|       | Get Up and Dance                                                                        | O-Games                                | PlayStation 3 | 2011 | Europe
|       | Ghostbusters: The Video Game                                                            | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | God of War Collection                                                                   | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | God of War Collection: Volume II                                                        | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | God of War III                                                                          | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | God of War III                                                                          | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | God of War: Ascension                                                                   | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Godzilla                                                                                | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Golden Axe: Beast Rider                                                                 | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Golden Compass, The                                                                     | Sega Europe                            | PlayStation 3 | 2007 | Europe
|       | Goldeneye 007: Reloaded                                                                 | Activision                             | PlayStation 3 | 2011 | Europe
|       | Gran Turismo 5                                                                          | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Gran Turismo 5 Prologue                                                                 | SCEE                                   | PlayStation 3 | 2008 | Europe
|       | Gran Turismo 5: Academy Edition                                                         | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | Gran Turismo 6                                                                          | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Grand Slam Tennis 2                                                                     | EA Sports                              | PlayStation 3 | 2012 | Europe
|       | Grand Theft Auto IV                                                                     | Rockstar Games                         | PlayStation 3 | 2008 | Europe
|       | Grand Theft Auto IV: The Complete Edition                                               | Rockstar Games                         | PlayStation 3 | 2010 | Europe
|       | Grand Theft Auto V                                                                      | Rockstar Games                         | PlayStation 3 | 2013 | Europe
|       | Grand Theft Auto: Episodes from Liberty City                                            | Rockstar Games                         | PlayStation 3 | 2010 | Europe
|       | Grand Theft Auto: San Andreas                                                           | Rockstar Games                         | PlayStation 3 | 2015 | Europe
|       | Grease Dance                                                                            | 505 Games                              | PlayStation 3 | 2011 | Europe
|       | Green Day: Rock Band                                                                    | MTV Games                              | PlayStation 3 | 2010 | Europe
|       | Green Lantern: Rise of the Manhunters                                                   | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Europe
|       | GRID 2                                                                                  | Codemasters                            | PlayStation 3 | 2013 | Europe
|       | GRID Autosport                                                                          | Codemasters                            | PlayStation 3 | 2014 | Europe
|       | Guardians of Middle-Earth                                                               | Warner Bros. Interactive Entertainment | PlayStation 3 | 2012 | Europe
|       | Guided Fate Paradox, The                                                                | NIS America                            | PlayStation 3 | 2013 | Europe
|       | Guilty Gear Xrd -REVELATOR-                                                             | PQube                                  | PlayStation 3 | 2016 | Europe
|       | Guitar Hero 5                                                                           | Activision                             | PlayStation 3 | 2009 | Europe
|       | Guitar Hero III: Legends of Rock                                                        | Activision                             | PlayStation 3 | 2007 | Europe
|       | Guitar Hero Live                                                                        | Activision                             | PlayStation 3 | 2015 | Europe
|       | Guitar Hero World Tour                                                                  | Activision                             | PlayStation 3 | 2008 | Europe
|       | Guitar Hero: Aerosmith                                                                  | Activision                             | PlayStation 3 | 2008 | Europe
|       | Guitar Hero: Greatest Hits                                                              | Activision                             | PlayStation 3 | 2009 | Europe
|       | Guitar Hero: Metallica                                                                  | Activision                             | PlayStation 3 | 2009 | Europe
|       | Guitar Hero: Van Halen                                                                  | Activision                             | PlayStation 3 | 2010 | Europe
|       | Guitar Hero: Warriors of Rock                                                           | Activision                             | PlayStation 3 | 2010 | Europe
|       | Hail to the Chimp                                                                       | Gamecock Media Group                   | PlayStation 3 | 2009 | Europe
|       | Handball 16                                                                             | BigBen Interactive                     | PlayStation 3 | 2015 | Europe
|       | Hannah Montana: The Movie                                                               | Disney Interactive Studios             | PlayStation 3 | 2009 | Europe
|       | Happy Feet Two: The Videogame                                                           | Warner Bros. Interactive Entertainment | PlayStation 3 | 2011 | Europe
|       | Harry Potter and the Deathly Hallows, Part 1                                            | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Harry Potter and the Deathly Hallows, Part 2                                            | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Harry Potter and the Half-Blood Prince                                                  | EA Games                               | PlayStation 3 | 2009 | Europe
|       | Harry Potter and the Order of the Phoenix                                               | EA Games                               | PlayStation 3 | 2007 | Europe
|       | Hasbro Family Game Night 4: The Game Show Edition                                       | Electronic Arts                        | PlayStation 3 | 2011 | Europe
|       | Hasbro Family Game Night Vol 3                                                          | Electronic Arts                        | PlayStation 3 | 2010 | Europe
|       | Hatsune Miku: Project Diva F 2nd                                                        | Sega                                   | PlayStation 3 | 2014 | Europe
|       | Haze                                                                                    | Ubisoft                                | PlayStation 3 | 2008 | Europe
|       | Heavenly Sword                                                                          | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Heavy Fire: Shattered Spear                                                             | Mastiff                                | PlayStation 3 | 2013 | Europe
|       | Heavy Rain                                                                              | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Heavy Rain: Move Edition                                                                | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | Hellboy: The Science of Evil                                                            | Konami                                 | PlayStation 3 | 2008 | Europe
|       | Heroes Over Europe                                                                      | Atari SA                               | PlayStation 3 | 2009 | Europe
|       | History Channel: Battle for the Pacific, The                                            | Activision                             | PlayStation 3 | 2008 | Europe
|       | History Channel: Great Battles - Medieval, The                                          | Slitherine                             | PlayStation 3 | 2010 | Europe
|       | History: Legends of War                                                                 | Slitherine                             | PlayStation 3 | 2013 | Europe
|       | Hitman HD Trilogy                                                                       | Square Enix                            | PlayStation 3 | 2013 | Europe
|       | Hitman: Absolution                                                                      | Square Enix                            | PlayStation 3 | 2012 | Europe
|       | Homefront                                                                               | THQ                                    | PlayStation 3 | 2011 | Europe
|       | Homefront: Ultimate Edition                                                             | THQ                                    | PlayStation 3 | 2012 | Europe
|       | Hot Wheels: World's Best Driver                                                         | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Europe
|       | House of the Dead: Overkill - Extended Cut, The                                         | Sega                                   | PlayStation 3 | 2011 | Europe
|       | How to Train Your Dragon                                                                | Activision                             | PlayStation 3 | 2010 | Europe
|       | How to Train Your Dragon 2                                                              | Little Orbit                           | PlayStation 3 | 2014 | Europe
|       | Hunted: The Demon's Forge                                                               | Bethesda Softworks                     | PlayStation 3 | 2011 | Europe
|       | Hunter's Trophy                                                                         | BigBen Interactive                     | PlayStation 3 | 2011 | Europe
|       | Hunter's Trophy 2 - Europa                                                              | BigBen Interactive                     | PlayStation 3 | 2012 | Europe
|       | Hyperdimension Neptunia                                                                 | NIS America                            | PlayStation 3 | 2011 | Europe
|       | Hyperdimension Neptunia Hypercollection                                                 | NIS America                            | PlayStation 3 | 2015 | Europe
|       | Hyperdimension Neptunia mk2                                                             | NIS America                            | PlayStation 3 | 2012 | Europe
|       | Hyperdimension Neptunia Victory                                                         | NIS America                            | PlayStation 3 | 2013 | Europe
|       | Ice Age 3: Dawn of the Dinosaurs                                                        | Activision                             | PlayStation 3 | 2009 | Europe
|       | Ice Age: Continental Drift - Arctic Games                                               | Activision                             | PlayStation 3 | 2012 | Europe
|       | ICO & Shadow of the Colossus                                                            | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | IHF Handball Challenge 14                                                               | BigBen Interactive                     | PlayStation 3 | 2014 | Europe
|       | IL-2 Sturmovik: Birds of Prey                                                           | 505 Games                              | PlayStation 3 | 2009 | Europe
|       | Incredible Hulk, The                                                                    | Sega                                   | PlayStation 3 | 2008 | Europe
|       | inFamous                                                                                | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | inFamous 2                                                                              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Injustice: Gods Among Us                                                                | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Europe
|       | Injustice: Gods Among Us - Ultimate Edition                                             | Warner Bros. Interactive Entertainment | PlayStation 3 | 2013 | Europe
|       | International Cricket 2010                                                              | Codemasters                            | PlayStation 3 | 2010 | Europe
|       | Inversion                                                                               | Namco Bandai Games                     | PlayStation 3 | 2012 | Europe
|       | Invizimals: The Lost Kingdom                                                            | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Iron Man 2                                                                              | Sega                                   | PlayStation 3 | 2010 | Europe
|       | Iron Man: The Official Videogame                                                        | Sega                                   | PlayStation 3 | 2008 | Europe
|       | Iron Sky: Invasion                                                                      | TopWare Interactive                    | PlayStation 3 | 2012 | Europe
|       | J-Stars Victory Vs+                                                                     | Bandai Namco Games                     | PlayStation 3 | 2015 | Europe
|       | Jackbox Party Pack, The                                                                 | Avanquest Software                     | PlayStation 3 | 2015 | Europe
|       | Jak and Daxter Trilogy, The                                                             | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | James Bond 007: Blood Stone                                                             | Activision                             | PlayStation 3 | 2010 | Europe
|       | James Cameron's Avatar: The Game                                                        | Ubisoft                                | PlayStation 3 | 2009 | Europe
|       | JASF: Jane's Advanced Strike Fighters                                                   | Deep Silver                            | PlayStation 3 | 2011 | Europe
|       | John Daly's ProStroke Golf                                                              | O-Games                                | PlayStation 3 | 2010 | Europe
|       | JoJo's Bizarre Adventure All-Star Battle                                                | Bandai Namco Games                     | PlayStation 3 | 2014 | Europe
|       | Jonah Lomu Rugby Challenge                                                              | Home Entertainment Suppliers           | PlayStation 3 | 2011 | Europe
|       | Journey Collector's Edition                                                             | SCEE                                   | PlayStation 3 | 2013 | Europe
|       | Juiced 2: Hot Import Nights                                                             | THQ                                    | PlayStation 3 | 2007 | Europe
|       | Just Cause 2                                                                            | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Just Dance 2014                                                                         | Ubisoft                                | PlayStation 3 | 2013 | Europe
|       | Just Dance 2015                                                                         | Ubisoft                                | PlayStation 3 | 2014 | Europe
|       | Just Dance 2016                                                                         | Ubisoft                                | PlayStation 3 | 2015 | Europe
|       | Just Dance 2017                                                                         | Ubisoft                                | PlayStation 3 | 2016 | Europe
|       | Just Dance 2018                                                                         | Ubisoft                                | PlayStation 3 | 2017 | Europe
|       | Just Dance 3                                                                            | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Just Dance 4                                                                            | Ubisoft                                | PlayStation 3 | 2012 | Europe
|       | Just Dance Kids                                                                         | Ubisoft                                | PlayStation 3 | 2011 | Europe
|       | Kane & Lynch 2: Dog Days                                                                | Square Enix                            | PlayStation 3 | 2010 | Europe
|       | Kane & Lynch: Dead Men                                                                  | Eidos Interactive                      | PlayStation 3 | 2007 | Europe
|       | Karaoke Revolution                                                                      | Konami                                 | PlayStation 3 | 2010 | Europe
|       | Katamari Forever                                                                        | Bandai Namco Games                     | PlayStation 3 | 2009 | Europe
|       | Kick-Ass 2                                                                              | UIG Entertainment                      | PlayStation 3 | 2014 | Europe
|       | Killer Is Dead                                                                          | Deep Silver                            | PlayStation 3 | 2013 | Europe
|       | Killzone 2                                                                              | SCEE                                   | PlayStation 3 | 2009 | Europe
|       | Killzone 3                                                                              | SCEE                                   | PlayStation 3 | 2011 | Europe
|       | Killzone Trilogy                                                                        | SCEE                                   | PlayStation 3 | 2012 | Europe
|       | King of Fighters XII, The                                                               | SNK Playmore                           | PlayStation 3 | 2009 | Europe
|       | King of Fighters XIII, The                                                              | Rising Star Games                      | PlayStation 3 | 2011 | Europe
|       | Kingdom Hearts HD 1.5 ReMIX                                                             | Square Enix                            | PlayStation 3 | 2013 | Europe
|       | Kingdom Hearts HD 2.5 Remix                                                             | Square Enix                            | PlayStation 3 | 2014 | Europe
|       | Kingdoms of Amalur: Reckoning                                                           | Electronic Arts                        | PlayStation 3 | 2012 | Europe
|       | Knights Contract                                                                        | Namco Bandai Games                     | PlayStation 3 | 2011 | Europe
|       | Kung Fu Panda                                                                           | Activision                             | PlayStation 3 | 2008 | Europe
|       | Kung Fu Panda: Showdown of Legendary Legends                                            | Little Orbit                           | PlayStation 3 | 2015 | Europe
|       | Kung Fu Rider                                                                           | SCEE                                   | PlayStation 3 | 2010 | Europe
|       | L.A. Noire                                                                              | Rockstar Games                         | PlayStation 3 | 2011 | Europe
|       | L.A. Noire: The Complete Edition                                                        | Rockstar Games                         | PlayStation 3 | 2011 | Europe
|       | Lair                                                                                    | SCEE                                   | PlayStation 3 | 2007 | Europe
|       | Last of Us, The                                                                         | SCEE                                   | PlayStation 3 | 2013 | Europe
