|       | 007 Shitou                                                   | Tengen                       | Sega Genesis | 1993 | Japan
|       | Shura no Mon                                                 | Sega                         | Sega Genesis | 1992 | Japan
|       | Side Pocket                                                  | Data East                    | Sega Genesis | 1992 | Japan
|       | Slap Fight MD                                                | Tengen                       | Sega Genesis | 1993 | Japan
|       | Slime World                                                  | Micro World                  | Sega Genesis | 1992 | Japan
|       | Snow Bros.                                                   | Tengen                       | Sega Genesis | 1993 | Japan
|       | Sonic & Knuckles                                             | Sega                         | Sega Genesis | 1994 | Japan
|       | Sonic Spinball                                               | Sega                         | Sega Genesis | 1993 | Japan
|       | Sonic the Hedgehog                                           | Sega                         | Sega Genesis | 1991 | Japan
|       | Sonic the Hedgehog 2                                         | Sega                         | Sega Genesis | 1992 | Japan
|       | Sonic the Hedgehog 3                                         | Sega                         | Sega Genesis | 1994 | Japan
|       | Sorcer Kingdom                                               | NCS                          | Sega Genesis | 1992 | Japan
|       | Sorcerian                                                    | Sega                         | Sega Genesis | 1990 | Japan
|       | Space Funky B.O.B.                                           | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Space Harrier II                                             | Sega                         | Sega Genesis | 1988 | Japan
|       | Space Invaders '90                                           | Taito Corporation            | Sega Genesis | 1990 | Japan
|       | Sparkster: Rocket Knight Adventures 2                        | Konami                       | Sega Genesis | 1994 | Japan
|       | SpeedBall 2                                                  | CSK                          | Sega Genesis | 1992 | Japan
|       | Spider-Man                                                   | Sega                         | Sega Genesis | 1991 | Japan
|       | Spider-Man & Venom: Maximum Carnage                          | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Splatterhouse Part 2                                         | Namco                        | Sega Genesis | 1992 | Japan
|       | Splatterhouse Part 3                                         | Namco                        | Sega Genesis | 1993 | Japan
|       | Star Cruiser                                                 | NCS                          | Sega Genesis | 1990 | Japan
|       | Steel Talons                                                 | Tengen                       | Sega Genesis | 1993 | Japan
|       | StormLord                                                    | Micro World                  | Sega Genesis | 1992 | Japan
|       | Story of Thor: Hikari o Tsugu Mono, The                      | Sega                         | Sega Genesis | 1994 | Japan
|       | Street Fighter II' Plus: Champion Edition                    | Capcom                       | Sega Genesis | 1993 | Japan
|       | Street Smart                                                 | Treco                        | Sega Genesis | 1991 | Japan
|       | Strider Hiryu                                                | Sega                         | Sega Genesis | 1990 | Japan
|       | Sumisei Home Tanmatsu                                        | Sega                         | Sega Genesis | 1991 | Japan
|       | Super Airwolf                                                | Kyugo Boueki                 | Sega Genesis | 1991 | Japan
|       | Super Daisenryaku                                            | Sega                         | Sega Genesis | 1989 | Japan
|       | Super Fantasy Zone                                           | SunSoft                      | Sega Genesis | 1992 | Japan
|       | Super H.Q.                                                   | Taito Corporation            | Sega Genesis | 1992 | Japan
|       | Super Hang-On                                                | Sega                         | Sega Genesis | 1989 | Japan
|       | Super Hydlide                                                | Asmik Ace Entertainment, Inc | Sega Genesis | 1989 | Japan
|       | Super League                                                 | Sega                         | Sega Genesis | 1989 | Japan
|       | Super Monaco GP                                              | Sega                         | Sega Genesis | 1990 | Japan
|       | Super Real Basketball                                        | Sega                         | Sega Genesis | 1990 | Japan
|       | Super Shinobi II, The                                        | Sega                         | Sega Genesis | 1993 | Japan
|       | Super Shinobi, The                                           | Sega                         | Sega Genesis | 1989 | Japan
|       | Super Street Fighter II: The New Challengers                 | Capcom                       | Sega Genesis | 1994 | Japan
|       | Super Thunder Blade                                          | Sega                         | Sega Genesis | 1988 | Japan
|       | Super Volleyball                                             | Video System                 | Sega Genesis | 1991 | Japan
|       | Surging Aura                                                 | Sega                         | Sega Genesis | 1995 | Japan
|       | Sword of Sodan                                               | Sega                         | Sega Genesis | 1991 | Japan
|       | T2: The Arcade Game                                          | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | Taiheiki                                                     | Sega                         | Sega Genesis | 1991 | Japan
|       | Taikou Risshiden                                             | Koei                         | Sega Genesis | 1993 | Japan
|       | Task Force Harrier EX                                        | Treco                        | Sega Genesis | 1991 | Japan
|       | Tatsujin                                                     | Sega                         | Sega Genesis | 1989 | Japan
|       | Taz-Mania: Bad to the Bone                                   | Sega                         | Sega Genesis | 1992 | Japan
|       | Tecmo Super Bowl                                             | Sega                         | Sega Genesis | 1993 | Japan
|       | Tecmo Super Bowl II: Special Edition                         | Tecmo                        | Sega Genesis | 1994 | Japan
|       | Tecmo Super NBA Basketball                                   | Tecmo                        | Sega Genesis | 1994 | Japan
|       | Tecmo World Cup '92                                          | Sims                         | Sega Genesis | 1992 | Japan
|       | Teenage Mutant Ninja Turtles: Return of the Shredder         | Konami                       | Sega Genesis | 1992 | Japan
|       | Teenage Mutant Ninja Turtles: Tournament Fighters            | Konami                       | Sega Genesis | 1993 | Japan
|       | Teitoku no Ketsudan                                          | Koei                         | Sega Genesis | 1992 | Japan
|       | Tel Tel Mahjong                                              | SunSoft                      | Sega Genesis | 1990 | Japan
|       | Tel Tel Stadium                                              | SunSoft                      | Sega Genesis | 1990 | Japan
|       | Tetris                                                       | Sega                         | Sega Genesis | 1989 | Japan
|       | Thunder Force II MD                                          | TechnoSoft                   | Sega Genesis | 1989 | Japan
|       | Thunder Force III                                            | TechnoSoft                   | Sega Genesis | 1990 | Japan
|       | Thunder Force IV                                             | TechnoSoft                   | Sega Genesis | 1992 | Japan
|       | Thunder Fox                                                  | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Thunder Pro Wrestling Retsuden                               | Human Entertainment          | Sega Genesis | 1992 | Japan
|       | Time Dominator                                               | Vic Tokai                    | Sega Genesis | 1994 | Japan
|       | ToeJam & Earl                                                | Sega                         | Sega Genesis | 1992 | Japan
|       | Toki no Keishousha: Phantasy Star III                        | Sega                         | Sega Genesis | 1990 | Japan
|       | Tom and Jerry                                                | Altron                       | Sega Genesis | 1994 | Japan
|       | Top Pro Golf                                                 | Soft Vision International    | Sega Genesis | 1992 | Japan
|       | Top Pro Golf 2                                               | Soft Vision International    | Sega Genesis | 1993 | Japan
|       | Tougi-Ou: King Colossus                                      | Sega                         | Sega Genesis | 1992 | Japan
|       | True Lies                                                    | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Turbo OutRun                                                 | Sega                         | Sega Genesis | 1992 | Japan
|       | Twinkle Tale                                                 | Toyo Records                 | Sega Genesis | 1992 | Japan
|       | Uchuu Senkan Gomora                                          | UPL                          | Sega Genesis | 1991 | Japan
|       | Ultraman                                                     | Ma-Ba                        | Sega Genesis | 1993 | Japan
|       | Undead Line                                                  | PalSoft                      | Sega Genesis | 1991 | Japan
|       | V V                                                          | Tengen                       | Sega Genesis | 1994 | Japan
|       | Valis III                                                    | Sega                         | Sega Genesis | 1991 | Japan
|       | Vampire Killer                                               | Konami                       | Sega Genesis | 1994 | Japan
|       | Vermilion                                                    | Sega                         | Sega Genesis | 1989 | Japan
|       | Verytex                                                      | Asmik Ace Entertainment, Inc | Sega Genesis | 1991 | Japan
|       | Virtua Racing                                                | Sega                         | Sega Genesis | 1994 | Japan
|       | Virtual Bart                                                 | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | Vixen 357                                                    | NCS                          | Sega Genesis | 1992 | Japan
|       | Volfied                                                      | Taito Corporation            | Sega Genesis | 1991 | Japan
|       | Wani Wani World                                              | Kaneko                       | Sega Genesis | 1992 | Japan
|       | Wardner no Mori Special                                      | Visco                        | Sega Genesis | 1991 | Japan
|       | Whip Rush: Wakusei Vortegas no Nazo                          | Sega                         | Sega Genesis | 1990 | Japan
|       | Wimbledon Championship Tennis                                | Sega                         | Sega Genesis | 1994 | Japan
|       | Winter Olympics                                              | Sega                         | Sega Genesis | 1994 | Japan
|       | Wizard of Immortal                                           | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
|       | Wonder Boy V: Monster World III                              | Sega                         | Sega Genesis | 1991 | Japan
|       | World Cup Soccer                                             | Sega                         | Sega Genesis | 1989 | Japan
|       | Wrestle War                                                  | Sega                         | Sega Genesis | 1991 | Japan
|       | Wrestleball                                                  | Namco                        | Sega Genesis | 1991 | Japan
|       | WWF Raw                                                      | Acclaim Japan                | Sega Genesis | 1995 | Japan
|       | WWF Royal Rumble                                             | Acclaim Japan                | Sega Genesis | 1994 | Japan
|       | XDR: X-Dazedly-Ray                                           | Unipacc                      | Sega Genesis | 1990 | Japan
|       | Ys III: Wanderers from Ys                                    | Riot                         | Sega Genesis | 1991 | Japan
|       | Yuu Yuu Hakusho Gaiden                                       | Sega                         | Sega Genesis | 1994 | Japan
|       | Yuu Yuu Hakusho: Makyo Toitsusen                             | Sega                         | Sega Genesis | 1994 | Japan
|       | Zan: Yasha Enbukyoku                                         | Wolf Team                    | Sega Genesis | 1991 | Japan
|       | Zero Wing                                                    | Toaplan                      | Sega Genesis | 1991 | Japan
|       | Zoom!                                                        | Sega                         | Sega Genesis | 1990 | Japan
|       | Zou! Zou! Zou! Rescue Daisakusen                             | Electronic Arts Victor       | Sega Genesis | 1993 | Japan
