|       | 18 Wheeler: American Pro Trucker                          | Sega                     | Sega Dreamcast | 2001 | NTSC (NA)
|       | Charge 'n Blast                                           | Xicat Interactive         | Sega Dreamcast | 2001 | PAL
|       | Chicken Run                                               | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | ChuChu Rocket!                                            | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Coaster Works                                             | Xicat Interactive         | Sega Dreamcast | 2001 | PAL
|       | Confidential Mission                                      | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Conflict Zone                                             | Ubisoft                   | Sega Dreamcast | 2002 | PAL
|       | Crazy Taxi                                                | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Crazy Taxi 2                                              | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Dave Mirra Freestyle BMX                                  | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Daytona USA 2001                                          | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Dead or Alive 2                                           | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Deadly Skies                                              | Konami                    | Sega Dreamcast | 2000 | PAL
|       | Deep Fighter                                              | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Dino Crisis                                               | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Disney's 102 Dalmatians: Puppies to the Rescue            | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Disney's Dinosaur                                         | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Disney's Donald Duck: Quack Attack                        | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Disney/Pixar Buzz Lightyear of Star Command               | Activision                | Sega Dreamcast | 2001 | PAL
|       | Disney/Pixar Toy Story 2: Buzz Lightyear to the Rescue!   | Activision                | Sega Dreamcast | 2000 | PAL
|       | Dragon Riders: Chronicles of Pern                         | Ubisoft                   | Sega Dreamcast | 2002 | PAL
|       | Dragon's Blood                                            | Interplay                 | Sega Dreamcast | 2000 | PAL
|       | DreamOn Volume 1                                          | Sega                      | Sega Dreamcast | 1999 | PAL
|       | DreamOn Volume 2                                          | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Ducati World                                              | Acclaim                   | Sega Dreamcast | 2001 | PAL
|       | Dynamite Cop!                                             | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Ecco the Dolphin: Defender of the Future                  | Sega                      | Sega Dreamcast | 2000 | PAL
|       | ECW Anarchy Rulz                                          | Acclaim                   | Sega Dreamcast | 2001 | PAL
|       | ECW Hardcore Revolution                                   | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Elansar & Philia                                          | HUCAST                    | Sega Dreamcast | 2015 | PAL
|       | Escape 2042: The Truth Defenders                          | Orion Soft                | Sega Dreamcast | 2017 | PAL
|       | ESPN International Track & Field                          | Konami                    | Sega Dreamcast | 2000 | PAL
|       | European Super League                                     | Virgin Interactive        | Sega Dreamcast | 2001 | PAL
|       | Evil Dead: Hail to the King                               | THQ                       | Sega Dreamcast | 2001 | PAL
|       | Evil Twin: Cyprien's Chronicles                           | Ubisoft                   | Sega Dreamcast | 2002 | PAL
|       | Evolution 2: Far Off Promise                              | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Evolution: The World of Sacred Device                     | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Exhibition of Speed                                       | Titus Software            | Sega Dreamcast | 2001 | PAL
|       | F1 Racing Championship                                    | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | F1 World Grand Prix                                       | Video System              | Sega Dreamcast | 1999 | PAL
|       | F1 World Grand Prix II                                    | Video System              | Sega Dreamcast | 2000 | PAL
|       | F355 Challenge: Passione Rossa                            | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Fighting Force 2                                          | Eidos Interactive         | Sega Dreamcast | 1999 | PAL
|       | Fighting Vipers 2                                         | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Floigan Bros. Episode 1                                   | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Freestyle Scooter                                         | Ubisoft                   | Sega Dreamcast | 2002 | PAL
|       | Fruit'Y: Playing with Edibles                             | Retroguru                 | Sega Dreamcast | 2015 | PAL
|       | Fur Fighters                                              | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Gauntlet Legends                                          | Midway                    | Sega Dreamcast | 2000 | PAL
|       | Ghost Blade                                               | HUCAST                    | Sega Dreamcast | 2015 | PAL
|       | Giant Killers                                             | AAA                       | Sega Dreamcast | 2001 | PAL
|       | Giga Wing                                                 | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Grand Theft Auto 2                                        | Take-Two Interactive      | Sega Dreamcast | 2000 | PAL
|       | Grandia II                                                | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Grinch, The                                               | Universal Interactive     | Sega Dreamcast | 2000 | PAL
|       | Gunbird 2                                                 | Virgin Interactive        | Sega Dreamcast | 2001 | PAL
|       | GunLord                                                   | NG:DEV.TEAM               | Sega Dreamcast | 2012 | PAL
|       | Headhunter                                                | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Heavy Metal: Geomatrix                                    | Capcom                    | Sega Dreamcast | 2002 | PAL
|       | Hermes                                                    | Retroguru                 | Sega Dreamcast | 2017 | PAL
|       | Hidden & Dangerous                                        | TalonSoft                 | Sega Dreamcast | 2000 | PAL
|       | House of the Dead 2, The                                  | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Hydro Thunder                                             | Midway                    | Sega Dreamcast | 1999 | PAL
|       | Incoming                                                  | Rage Software             | Sega Dreamcast | 1999 | PAL
|       | Iron Aces                                                 | Xicat Interactive         | Sega Dreamcast | 2001 | PAL
|       | Jeremy McGrath SuperCross 2000                            | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Jet Set Radio                                             | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Jimmy White's 2: Cueball                                  | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | JoJo's Bizarre Adventure                                  | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Kao the Kangaroo                                          | Titus Software            | Sega Dreamcast | 2000 | PAL
|       | KISS: Psycho Circus: The Nightmare Child                  | Take-Two Interactive      | Sega Dreamcast | 2001 | PAL
|       | Last Hope                                                 | redspotgames              | Sega Dreamcast | 2007 | PAL
|       | Last Hope: Pink Bullets                                   | NG:DEV.TEAM               | Sega Dreamcast | 2009 | PAL
|       | Le Mans 24 Hours                                          | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | Legacy of Kain: Soul Reaver                               | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Looney Tunes: Space Race                                  | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | MagForce Racing                                           | Crave                     | Sega Dreamcast | 2000 | PAL
|       | Maken X                                                   | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Marvel vs. Capcom 2: New Age of Heroes                    | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Marvel vs. Capcom: Clash of Super Heroes                  | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | MDK 2                                                     | Interplay                 | Sega Dreamcast | 2000 | PAL
|       | Metropolis Street Racer: Opel Challenge                   | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Midway's Greatest Arcade Hits Volume 1                    | Midway                    | Sega Dreamcast | 2000 | PAL
|       | Millenium Soldier: Expendable                             | Infogrames                | Sega Dreamcast | 1999 | PAL
|       | Moho                                                      | Take-Two Interactive      | Sega Dreamcast | 2000 | PAL
|       | Mortal Kombat Gold                                        | Midway                    | Sega Dreamcast | 1999 | PAL
|       | Mr. Driller                                               | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | MSR: Metropolis Street Racer                              | Sega                      | Sega Dreamcast | 2000 | PAL
|       | MTV Sports: Skateboarding featuring Andy McDonald         | THQ                       | Sega Dreamcast | 2000 | PAL
|       | NBA 2K                                                    | Sega                      | Sega Dreamcast | 1999 | PAL
|       | NBA Hoopz                                                 | Midway                    | Sega Dreamcast | 2001 | PAL
|       | NBA Showtime: NBA on NBC                                  | Midway                    | Sega Dreamcast | 1999 | PAL
|       | NEO XYX                                                   | NG:DEV.TEAM               | Sega Dreamcast | 2014 | PAL
|       | NFL Blitz 2000                                            | Midway                    | Sega Dreamcast | 1999 | PAL
|       | NFL Quarterback Club 2000                                 | Acclaim                   | Sega Dreamcast | 1999 | PAL
|       | Nightmare Creatures II                                    | Konami                    | Sega Dreamcast | 2000 | PAL
|       | Nomad Soul, The                                           | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Orion's Puzzle Collection                                 | Orion Soft                | Sega Dreamcast | 2016 | PAL
|       | OutTrigger: International Counter Terrorism Special Force | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Pen Pen                                                   | Infogrames                | Sega Dreamcast | 1999 | PAL
|       | Phantasy Star Online                                      | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Phantasy Star Online Ver. 2                               | Sega                      | Sega Dreamcast | 2002 | PAL
|       | Pier Solar HD                                             | Watermelon                | Sega Dreamcast | 2015 | PAL
|       | Planet Ring                                               | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Plasma Sword: Nightmare of Bilstein                       | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Pod 2 Multiplayer Online                                  | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Power Stone                                               | Eidos Interactive         | Sega Dreamcast | 1999 | PAL
|       | Power Stone 2                                             | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Pro Pinball Trilogy                                       | Empire Interactive        | Sega Dreamcast | 2001 | PAL
|       | Project Justice: Rival Schools 2                          | Virgin Interactive        | Sega Dreamcast | 2001 | PAL
|       | Psychic Force 2012                                        | Taito Corporation         | Sega Dreamcast | 1999 | PAL
|       | Quake III Arena                                           | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Racing Simulation 2: On-line Monaco Grand Prix            | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Railroad Tycoon II                                        | Take-Two Interactive      | Sega Dreamcast | 2000 | PAL
|       | Rayman 2: The Great Escape                                | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Re-Volt                                                   | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Ready 2 Rumble Boxing                                     | Midway                    | Sega Dreamcast | 1999 | PAL
|       | Ready 2 Rumble Boxing: Round 2                            | Midway                    | Sega Dreamcast | 2000 | PAL
|       | Record of Lodoss War                                      | Swing! Deutschland        | Sega Dreamcast | 2000 | PAL
|       | Red Dog: Superior Firepower                               | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Redux: Dark Matters                                       | HUCAST                    | Sega Dreamcast | 2014 | PAL
|       | Resident Evil 2                                           | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Resident Evil 3: Nemesis                                  | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Resident Evil Code: Veronica                              | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Rez                                                       | Sega                      | Sega Dreamcast | 2002 | PAL
|       | Roadsters                                                 | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Rush Rush Rally Racing                                    | redspotgames              | Sega Dreamcast | 2009 | PAL
|       | Rush Rush Rally Reloaded                                  | JoshProd                  | Sega Dreamcast | 2017 | PAL
|       | Samba de Amigo                                            | Sega                      | Sega Dreamcast | 2000 | PAL
|       | San Francisco Rush 2049                                   | Midway                    | Sega Dreamcast | 2000 | PAL
|       | Sega Bass Fishing                                         | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Sega Extreme Sports                                       | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | Sega GT                                                   | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Sega Rally Championship 2                                 | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Sega Sports NBA 2K2                                       | Sega                      | Sega Dreamcast | 2002 | PAL
|       | Sega Sports NHL 2K                                        | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Sega Worldwide Soccer 2000                                | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Sega WorldWide Soccer 2000 Euro Edition                   | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Shadow Man                                                | Acclaim                   | Sega Dreamcast | 1999 | PAL
|       | Shenmue                                                   | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Shenmue II                                                | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Silent Scope                                              | Konami                    | Sega Dreamcast | 2000 | PAL
|       | Silver                                                    | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | Skies of Arcadia                                          | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Slave Zero                                                | Infogrames                | Sega Dreamcast | 1999 | PAL
|       | SnoCross Championship Racing                              | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Snow Surfers                                              | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Soldier of Fortune                                        | Crave                     | Sega Dreamcast | 2001 | PAL
|       | Sonic Adventure                                           | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Sonic Adventure 2                                         | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Sonic Shuffle                                             | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Soul Fighter                                              | Red Orb Entertainment     | Sega Dreamcast | 1999 | PAL
|       | SoulCalibur                                               | Namco                     | Sega Dreamcast | 1999 | PAL
|       | South Park Rally                                          | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Space Channel 5                                           | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Spawn: In the Demon's Hand                                | Eidos Interactive         | Sega Dreamcast | 2001 | PAL
|       | Spec Ops II: Omega Squad                                  | Ripcord Games             | Sega Dreamcast | 2000 | PAL
|       | Speed Devils                                              | Ubisoft                   | Sega Dreamcast | 1999 | PAL
|       | Speed Devils Online Racing                                | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Spider-Man                                                | Activision                | Sega Dreamcast | 2001 | PAL
|       | Spirit of Speed 1937                                      | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Star Wars Episode I: Racer                                | LucasArts                 | Sega Dreamcast | 2000 | PAL
|       | Star Wars: Demolition                                     | Activision                | Sega Dreamcast | 2000 | PAL
|       | StarLancer                                                | Crave                     | Sega Dreamcast | 2001 | PAL
|       | Street Fighter Alpha 3                                    | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Street Fighter III: 3rd Strike                            | Capcom                    | Sega Dreamcast | 2000 | PAL
|       | Street Fighter III: Double Impact                         | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Stunt GP                                                  | EON Digital Entertainment | Sega Dreamcast | 2001 | PAL
|       | Stupid Invaders                                           | Ubisoft                   | Sega Dreamcast | 2001 | PAL
|       | Sturmwind                                                 | redspotgames              | Sega Dreamcast | 2013 | PAL
|       | Super Magnetic Neo                                        | Crave                     | Sega Dreamcast | 2000 | PAL
|       | Super Runabout: The Golden State                          | Interplay                 | Sega Dreamcast | 2000 | PAL
|       | Surf Rocket Racers                                        | Crave                     | Sega Dreamcast | 2000 | PAL
|       | Suzuki Alstare Extreme Racing                             | Ubisoft                   | Sega Dreamcast | 1999 | PAL
|       | Sword of the Berserk: Guts' Rage                          | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Sydney 2000                                               | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Taxi 2                                                    | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Tech Romancer                                             | Virgin Interactive        | Sega Dreamcast | 2000 | PAL
|       | Tee Off                                                   | Acclaim                   | Sega Dreamcast | 2000 | PAL
|       | Time Stalkers                                             | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Tokyo Highway Challenge                                   | Crave                     | Sega Dreamcast | 1999 | PAL
|       | Tokyo Highway Challenge 2                                 | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Tom Clancy's Rainbow Six                                  | Swing! Deutschland        | Sega Dreamcast | 2001 | PAL
|       | Tom Clancy's Rainbow Six: Rogue Spear                     | Swing! Deutschland        | Sega Dreamcast | 2000 | PAL
|       | Tomb Raider Chronicles                                    | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Tomb Raider: The Last Revelation                          | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Tony Hawk's Pro Skater 2                                  | Activision                | Sega Dreamcast | 2000 | PAL
|       | Tony Hawk's Skateboarding                                 | Crave                     | Sega Dreamcast | 2000 | PAL
|       | Toy Commander                                             | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Toy Racer                                                 | Sega                      | Sega Dreamcast | 2000 | PAL
|       | TrickStyle                                                | Acclaim                   | Sega Dreamcast | 1999 | PAL
|       | UEFA Dream Soccer                                         | Sega                      | Sega Dreamcast | 2000 | PAL
|       | UEFA Striker                                              | Infogrames                | Sega Dreamcast | 1999 | PAL
|       | Ultimate Fighting Championship                            | Ubisoft                   | Sega Dreamcast | 2000 | PAL
|       | Unreal Tournament                                         | Infogrames                | Sega Dreamcast | 2001 | PAL
|       | Urban Chaos                                               | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | V-Rally 2: Expert Edition                                 | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | Vanishing Point                                           | Acclaim                   | Sega Dreamcast | 2001 | PAL
|       | Vigilante 8: 2nd Offense                                  | Activision                | Sega Dreamcast | 2000 | PAL
|       | Virtua Athlete 2k                                         | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Virtua Fighter 3tb                                        | Sega                      | Sega Dreamcast | 1999 | PAL
|       | Virtua Striker 2 Ver. 2000.1                              | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Virtua Tennis                                             | Sega                      | Sega Dreamcast | 2000 | PAL
|       | Virtua Tennis 2                                           | Sega                      | Sega Dreamcast | 2001 | PAL
|       | Wacky Races                                               | Infogrames                | Sega Dreamcast | 2000 | PAL
|       | Walt Disney World Quest: Magical Racing Tour              | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Wetrix+                                                   | Take-Two Interactive      | Sega Dreamcast | 2000 | PAL
|       | Who Wants to be a Millionaire?                            | Eidos Interactive         | Sega Dreamcast | 2000 | PAL
|       | Wild Metal                                                | Rockstar Games            | Sega Dreamcast | 2000 | PAL
|       | Wind and Water: Puzzle Battles                            | redspotgames              | Sega Dreamcast | 2008 | PAL
|       | Worms Armageddon                                          | MicroProse                | Sega Dreamcast | 1999 | PAL
|       | Worms World Party                                         | Virgin Interactive        | Sega Dreamcast | 2001 | PAL
|       | WWF Attitude                                              | Acclaim                   | Sega Dreamcast | 1999 | PAL
|       | WWF Royal Rumble                                          | THQ                       | Sega Dreamcast | 2000 | PAL
|       | Xenocider                                                 | Retro Sumus               | Sega Dreamcast | 2017 | PAL
|       | Zia & the Goddesses of Magic                              | Orion Soft                | Sega Dreamcast | 2016 | PAL
|       | Zombie Revenge                                            | Sega                      | Sega Dreamcast | 2000 | PAL
|       | 18 Wheeler: American Pro Trucker                                       | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | 21: TwoOne                                                             | Princess Soft                 | Sega Dreamcast | 2001 | NTSC (JP)
|       | Advanced Daisenryaku 2001                                              | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Advanced Daisenryaku: Europe no Arashi - Doitsu Dengeki Sakusen        | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Aero Dancing F                                                         | CRI                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Aero Dancing F: Todoroki Tsubasa no Hatsu Hikou                        | CRI                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Aero Dancing featuring Blue Impulse                                    | CRI                           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Aero Dancing i                                                         | CRI                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Aero Dancing i: Jikai Sakuma de Machite Masen                          | CRI                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Aero Dancing: Torodoki Taichou no Himitsu Disc                         | CRI                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | After... Wasureenu Kizuna                                              | Pione Soft                    | Sega Dreamcast | 2004 | NTSC (JP)
|       | Aikagi                                                                 | NEC Interchannel              | Sega Dreamcast | 2003 | NTSC (JP)
|       | Air                                                                    | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | AirForce Delta                                                         | Konami                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | Akihabara Dennou Kumi Peta Pies!                                       | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Alabama Meets Will Vi                                                  | Will                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Alice's Mom's Rescue                                                   | HUCAST                        | Sega Dreamcast | 2015 | NTSC (JP)
|       | Angel Present                                                          | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | Angel Wish                                                             | Pione Soft                    | Sega Dreamcast | 2005 | NTSC (JP)
|       | Animastar                                                              | Aki Corp.                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Aoi Hagane no Kihei: Space Griffon                                     | Panther Software              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Atsumare! GuruGuru Onsen                                               | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Atsumare! GuruGuru Onsen BB                                            | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Bakumatsu Rouman Dai Ni Maku: Gekka no Kenshi Final Edition            | SNK                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Bakuretsu Muteki Bangaioh                                              | ESP Software                  | Sega Dreamcast | 1999 | NTSC (JP)
|       | Baldr Force EXE                                                        | Alchemist                     | Sega Dreamcast | 2004 | NTSC (JP)
|       | BassRush Dream                                                         | Visco                         | Sega Dreamcast | 2000 | NTSC (JP)
|       | Battle Beaster                                                         | Studio Wonder Effect          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Berserk Millennium Falcon Wasurebano No Akira - Trial Version          | ASCII Entertainment           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Berserk: Millennium Falcon Hen Wasurebana no Shou                      | ASCII Entertainment           | Sega Dreamcast | 1999 | NTSC (JP)
|       | BikkuriMan 2000 Viva!  Festival!                                       | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | BioHazard 2                                                            | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | BioHazard 3: Last Escape                                               | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | BioHazard Code: Veronica Kanzenban                                     | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | BioHazard Code: Veronica Trial Edition                                 | Capcom                        | Sega Dreamcast | 1999 | NTSC (JP)
|       | BioHazard: Code Veronica                                               | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Black/Matrix AD                                                        | NEC Interchannel              | Sega Dreamcast | 1999 | NTSC (JP)
|       | Blue Sky Blue                                                          | Reindeer                      | Sega Dreamcast | 2003 | NTSC (JP)
|       | Blue Stinger                                                           | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Blue Submarine No. 6: Saigetsu Fumahito- Time and Tide                 | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Boko Yume no Tatsujin                                                  | Fujicom                       | Sega Dreamcast | 2002 | NTSC (JP)
|       | Boku no Tennis Jinsei                                                  | Bimboosoft                    | Sega Dreamcast | 2001 | NTSC (JP)
|       | Boku to Bokura no Natsu                                                | Kid                           | Sega Dreamcast | 2002 | NTSC (JP)
|       | Boku, Doraemon                                                         | Sega Toys                     | Sega Dreamcast | 2001 | NTSC (JP)
|       | Bomber Hehhe                                                           | Fujicom                       | Sega Dreamcast | 2002 | NTSC (JP)
|       | Border Down                                                            | G.Rev                         | Sega Dreamcast | 2003 | NTSC (JP)
|       | Bounty Hunter Sarah: Holy Mountain no Teiou                            | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Buggy Heat                                                             | CRI                           | Sega Dreamcast | 1999 | NTSC (JP)
|       | Cafe Little Wish: Mahou no Recipe                                      | Princess Soft                 | Sega Dreamcast | 2003 | NTSC (JP)
|       | Canaria: Kono Omoi o Uta ni Nosete                                     | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | Candy Stripe                                                           | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Canvas                                                                 | NEC Interchannel              | Sega Dreamcast | 2001 | NTSC (JP)
|       | Capcom vs. SNK 2: Millionaire Fighting 2001                            | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Capcom vs. SNK: Millennium Fight 2000                                  | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Capcom vs. SNK: Millennium Fight 2000 Pro                              | Capcom                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Card Captor Sakura: Tomoyo no Video Daisakusen                         | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Card of Destiny: Hikari to Yami no Tougoumono                          | Abel Software                 | Sega Dreamcast | 2002 | NTSC (JP)
|       | Carrier                                                                | Jaleco Entertainment          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Castle Fantasia: Seima Taisen                                          | Studio e-go                   | Sega Dreamcast | 2002 | NTSC (JP)
|       | Chaos Field                                                            | MileStone Inc.                | Sega Dreamcast | 2004 | NTSC (JP)
|       | Charge 'n Blast                                                        | Sims                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Cherry Blossom                                                         | Takuyo                        | Sega Dreamcast | 2004 | NTSC (JP)
|       | Chocolat: Maid Cafe Curio                                              | Alchemist                     | Sega Dreamcast | 2003 | NTSC (JP)
|       | Chou-Hatsumei Boy Kanipan: Bousou Robot no Nazo!?                      | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Choukousenki Kikaioh                                                   | Capcom                        | Sega Dreamcast | 2000 | NTSC (JP)
|       | Christmas Seaman                                                       | DigiToys                      | Sega Dreamcast | 1999 | NTSC (JP)
|       | ChuChu Rocket!                                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Cleopatra Fortune                                                      | Altron                        | Sega Dreamcast | 2001 | NTSC (JP)
|       | Climax Landers                                                         | Sega                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | Close to: Inori no Oka                                                 | Kid                           | Sega Dreamcast | 2001 | NTSC (JP)
|       | Comic Party                                                            | Aqua Plus                     | Sega Dreamcast | 2001 | NTSC (JP)
|       | Communication Logic Battle Daisessen                                   | Fortyfive                     | Sega Dreamcast | 2000 | NTSC (JP)
|       | Confidential Mission                                                   | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Cool Boarders Burrrn                                                   | UEP Systems                   | Sega Dreamcast | 1999 | NTSC (JP)
|       | Cool Cool Toon                                                         | SNK                           | Sega Dreamcast | 2000 | NTSC (JP)
|       | Cosmic Smash                                                           | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | CR Hissatsu Shigotonin Pachitte Chonmage @ VPACHI                      | Hack Berry                    | Sega Dreamcast | 2001 | NTSC (JP)
|       | Crazy Taxi                                                             | Sega                          | Sega Dreamcast | 2000 | NTSC (JP)
|       | Crazy Taxi 2                                                           | Sega                          | Sega Dreamcast | 2001 | NTSC (JP)
|       | Culdcept II                                                            | Media Factory                 | Sega Dreamcast | 2001 | NTSC (JP)
|       | D no Shokutaku 2                                                       | WARP                          | Sega Dreamcast | 1999 | NTSC (JP)
|       | D+Vine [Luv]                                                           | Princess Soft                 | Sega Dreamcast | 2001 | NTSC (JP)
|       | D2 Shock                                                               | WARP                          | Sega Dreamcast | 1999 | NTSC (JP)
