|       | 007 Legends                                                              | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Ghostbusters: The Video Game                                             | Atari                                  | Xbox 360 | 2009 | NTSC (NA)
|       | Godfather II, The                                                        | Electronic Arts                        | Xbox 360 | 2009 | NTSC (NA)
|       | Godfather: The Game, The                                                 | Electronic Arts                        | Xbox 360 | 2006 | NTSC (NA)
|       | Golden Axe: Beast Rider                                                  | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Golden Compass, The                                                      | Sega                                   | Xbox 360 | 2007 | NTSC (NA)
|       | GoldenEye 007: Reloaded                                                  | Activision                             | Xbox 360 | 2011 | NTSC (NA)
|       | Grand Slam Tennis 2                                                      | EA Sports                              | Xbox 360 | 2012 | NTSC (NA)
|       | Grand Theft Auto IV                                                      | Rockstar Games                         | Xbox 360 | 2008 | NTSC (NA)
|       | Grand Theft Auto IV: The Complete Edition                                | Rockstar Games                         | Xbox 360 | 2010 | NTSC (NA)
|       | Grand Theft Auto IV: The Lost and Damned                                 | Rockstar Games                         | Xbox 360 | 2009 | NTSC (NA)
|       | Grand Theft Auto V                                                       | Rockstar Games                         | Xbox 360 | 2013 | NTSC (NA)
|       | Grand Theft Auto: Episodes from Liberty City                             | Rockstar Games                         | Xbox 360 | 2009 | NTSC (NA)
|       | Grand Theft Auto: San Andreas                                            | Rockstar Games                         | Xbox 360 | 2015 | NTSC (NA)
|       | Grease Dance                                                             | 505 Games                              | Xbox 360 | 2011 | NTSC (NA)
|       | Green Day: Rock Band                                                     | MTV Games                              | Xbox 360 | 2010 | NTSC (NA)
|       | Green Lantern: Rise of the Manhunters                                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | Greg Hastings Paintball 2                                                | Majesco Games                          | Xbox 360 | 2010 | NTSC (NA)
|       | GRID                                                                     | Codemasters                            | Xbox 360 | 2008 | NTSC (NA)
|       | GRID 2                                                                   | Codemasters                            | Xbox 360 | 2013 | NTSC (NA)
|       | GRID Autosport                                                           | Codemasters                            | Xbox 360 | 2014 | NTSC (NA)
|       | Guardians of Middle-Earth                                                | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Guilty Gear 2: Overture                                                  | Aksys Games                            | Xbox 360 | 2008 | NTSC (NA)
|       | Guitar Hero 5                                                            | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Guitar Hero II                                                           | RedOctane                              | Xbox 360 | 2007 | NTSC (NA)
|       | Guitar Hero III: Legends of Rock                                         | RedOctane                              | Xbox 360 | 2007 | NTSC (NA)
|       | Guitar Hero Live                                                         | Activision                             | Xbox 360 | 2015 | NTSC (NA)
|       | Guitar Hero World Tour                                                   | Activision Blizzard                    | Xbox 360 | 2008 | NTSC (NA)
|       | Guitar Hero: Aerosmith                                                   | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | Guitar Hero: Metallica                                                   | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Guitar Hero: Smash Hits                                                  | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Guitar Hero: Van Halen                                                   | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Guitar Hero: Warriors of Rock                                            | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Gun                                                                      | Activision                             | Xbox 360 | 2005 | NTSC (NA)
|       | Gunstringer, The                                                         | Twisted Pixel Games                    | Xbox 360 | 2011 | NTSC (NA)
|       | Hail to the Chimp                                                        | Gamecock Media Group                   | Xbox 360 | 2008 | NTSC (NA)
|       | Halo 3                                                                   | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (NA)
|       | Halo 3: ODST                                                             | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (NA)
|       | Halo 4                                                                   | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Halo Wars                                                                | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (NA)
|       | Halo: Combat Evolved Anniversary                                         | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (NA)
|       | Halo: Origins Bundle                                                     | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (NA)
|       | Halo: Reach                                                              | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Hannah Montana: The Movie                                                | Disney Interactive Studios             | Xbox 360 | 2009 | NTSC (NA)
|       | Happy Feet Two: The Videogame                                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | Harley Pasternak's Hollywood Workout                                     | Majesco Games                          | Xbox 360 | 2012 | NTSC (NA)
|       | Harry Potter and the Deathly Hallows, Part 1                             | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Harry Potter and the Deathly Hallows, Part 2                             | Electronic Arts                        | Xbox 360 | 2011 | NTSC (NA)
|       | Harry Potter and the Half-Blood Prince                                   | EA Games                               | Xbox 360 | 2009 | NTSC (NA)
|       | Harry Potter and the Order of the Phoenix                                | EA Games                               | Xbox 360 | 2007 | NTSC (NA)
|       | Harry Potter for Kinect                                                  | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Heavy Fire: Shattered Spear                                              | Mastiff                                | Xbox 360 | 2013 | NTSC (NA)
|       | Hellboy: The Science of Evil                                             | Konami                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Heroes Over Europe                                                       | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | High School Musical 3: Senior Year DANCE!                                | Disney Interactive Studios             | Xbox 360 | 2008 | NTSC (NA)
|       | Hip Hop Dance Experience, The                                            | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | History Channel: Battle for the Pacific, The                             | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | History Channel: Civil War - A Nation Divided, The                       | Activision                             | Xbox 360 | 2006 | NTSC (NA)
|       | History Channel: Civil War - Secret Missions, The                        | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | History Channel: Great Battles - Medieval, The                           | Maximum Family Games                   | Xbox 360 | 2011 | NTSC (NA)
|       | History Legends of War: Patton                                           | Maximum Games                          | Xbox 360 | 2012 | NTSC (NA)
|       | Hitman HD Trilogy                                                        | Square Enix                            | Xbox 360 | 2013 | NTSC (NA)
|       | Hitman: Absolution                                                       | Square Enix                            | Xbox 360 | 2012 | NTSC (NA)
|       | Hitman: Blood Money                                                      | Eidos Interactive                      | Xbox 360 | 2006 | NTSC (NA)
|       | Hitman: Sniper Challenge                                                 | Square Enix                            | Xbox 360 | 2012 | NTSC (NA)
|       | Hole in the Wall: Deluxe Edition                                         | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Homefront                                                                | THQ                                    | Xbox 360 | 2011 | NTSC (NA)
|       | Hot Wheels: Beat That!                                                   | Activision                             | Xbox 360 | 2007 | NTSC (NA)
|       | Hot Wheels: World's Best Driver                                          | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Hour of Victory                                                          | Midway                                 | Xbox 360 | 2007 | NTSC (NA)
|       | How to Train Your Dragon                                                 | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | How to Train Your Dragon 2                                               | Little Orbit                           | Xbox 360 | 2014 | NTSC (NA)
|       | Hulk Hogan's Main Event                                                  | Majesco Games                          | Xbox 360 | 2011 | NTSC (NA)
|       | Hunted: The Demon's Forge                                                | Bethesda Softworks                     | Xbox 360 | 2011 | NTSC (NA)
|       | Ice Age: Continental Drift - Arctic Games                                | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Ice Age: Dawn of the Dinosaurs                                           | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | IL-2 Sturmovik: Birds of Prey                                            | 505 Games                              | Xbox 360 | 2009 | NTSC (NA)
|       | Import Tuner Challenge                                                   | Ubisoft                                | Xbox 360 | 2006 | NTSC (NA)
|       | Incredible Hulk, The                                                     | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Indianapolis 500 Evolution                                               | Destineer                              | Xbox 360 | 2009 | NTSC (NA)
|       | Infernal: Hell's Vengeance                                               | Playlogic                              | Xbox 360 | 2009 | NTSC (NA)
|       | Infinite Undiscovery                                                     | Square Enix                            | Xbox 360 | 2008 | NTSC (NA)
|       | Injustice: Gods Among Us                                                 | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Injustice: Gods Among Us - Ultimate Edition                              | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | Inversion                                                                | Namco Bandai Games America             | Xbox 360 | 2012 | NTSC (NA)
|       | Iron Man                                                                 | Sega                                   | Xbox 360 | 2008 | NTSC (NA)
|       | Iron Man 2                                                               | Sega                                   | Xbox 360 | 2010 | NTSC (NA)
|       | Jackbox Party Pack, The                                                  | Telltale Games                         | Xbox 360 | 2015 | NTSC (NA)
|       | James Bond 007: Blood Stone                                              | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | James Cameron's Avatar: The Game                                         | Ubisoft                                | Xbox 360 | 2009 | NTSC (NA)
|       | JASF: Jane's Advanced Strike Fighters                                    | Maximum Family Games                   | Xbox 360 | 2011 | NTSC (NA)
|       | Jeopardy!                                                                | THQ                                    | Xbox 360 | 2012 | NTSC (NA)
|       | Jillian Michaels Fitness Adventure                                       | Majesco Games                          | Xbox 360 | 2011 | NTSC (NA)
|       | Jimmie Johnson's Anything With an Engine                                 | Konami                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Jonah Lomu Rugby Challenge                                               | Mad Catz                               | Xbox 360 | 2011 | NTSC (NA)
|       | Juiced 2: Hot Import Nights                                              | THQ                                    | Xbox 360 | 2007 | NTSC (NA)
|       | Jumper: Griffin's Story                                                  | Brash Entertainment                    | Xbox 360 | 2008 | NTSC (NA)
|       | Jurassic Park: The Game                                                  | Telltale Games                         | Xbox 360 | 2011 | NTSC (NA)
|       | Jurassic: The Hunted                                                     | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Just Cause                                                               | Eidos Interactive                      | Xbox 360 | 2006 | NTSC (NA)
|       | Just Cause 2                                                             | Square Enix                            | Xbox 360 | 2010 | NTSC (NA)
|       | Just Dance 2014                                                          | Ubisoft                                | Xbox 360 | 2013 | NTSC (NA)
|       | Just Dance 2015                                                          | Ubisoft                                | Xbox 360 | 2014 | NTSC (NA)
|       | Just Dance 2016                                                          | Ubisoft                                | Xbox 360 | 2015 | NTSC (NA)
|       | Just Dance 2017                                                          | Ubisoft                                | Xbox 360 | 2016 | NTSC (NA)
|       | Just Dance 2018                                                          | Ubisoft                                | Xbox 360 | 2017 | NTSC (NA)
|       | Just Dance 3                                                             | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Just Dance 4                                                             | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | Just Dance Kids 2                                                        | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Just Dance Kids 2014                                                     | Ubisoft                                | Xbox 360 | 2013 | NTSC (NA)
|       | Just Dance: Disney Party                                                 | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | Just Dance: Disney Party 2                                               | Ubisoft                                | Xbox 360 | 2015 | NTSC (NA)
|       | Just Dance: Greatest Hits                                                | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | Kameo: Elements of Power                                                 | Microsoft Game Studios                 | Xbox 360 | 2005 | NTSC (NA)
|       | Kane & Lynch 2: Dog Days                                                 | Square Enix                            | Xbox 360 | 2010 | NTSC (NA)
|       | Kane & Lynch: Dead Men                                                   | Eidos Interactive                      | Xbox 360 | 2007 | NTSC (NA)
|       | Karaoke Revolution                                                       | Konami                                 | Xbox 360 | 2009 | NTSC (NA)
|       | Karaoke Revolution Glee: Volume 3                                        | Konami                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Karaoke Revolution Presents: American Idol Encore                        | Konami                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Karaoke Revolution Presents: American Idol Encore 2                      | Konami                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Kengo: Legend of the 9                                                   | Majesco Games                          | Xbox 360 | 2007 | NTSC (NA)
|       | Killer Is Dead                                                           | Xseed Games                            | Xbox 360 | 2013 | NTSC (NA)
|       | Kinect Adventures!                                                       | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Kinect Joy Ride                                                          | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Kinect Nat Geo TV: America The Wild                                      | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect Playfit                                                           | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect Rush: A Disney-Pixar Adventure                                    | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect Sesame Street TV                                                  | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect Sports                                                            | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Kinect Sports: Season Two                                                | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (NA)
|       | Kinect Sports: Ultimate Collection                                       | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect Star Wars                                                         | Microsoft Game Studios                 | Xbox 360 | 2012 | NTSC (NA)
|       | Kinect: Disneyland Adventures                                            | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (NA)
|       | Kinectimals                                                              | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Kinectimals: Now with Bears!                                             | Microsoft Game Studios                 | Xbox 360 | 2011 | NTSC (NA)
|       | King of Fighters XII, The                                                | Ignition Entertainment                 | Xbox 360 | 2009 | NTSC (NA)
|       | King of Fighters XIII, The                                               | ATLUS                                  | Xbox 360 | 2011 | NTSC (NA)
|       | King's Quest: The Complete Collection                                    | Activision                             | Xbox 360 | 2016 | NTSC (NA)
|       | Kingdom Under Fire: Circle of Doom                                       | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | Kingdoms of Amalur: Reckoning                                            | Electronic Arts                        | Xbox 360 | 2012 | NTSC (NA)
|       | Knights Contract                                                         | Namco Bandai Games                     | Xbox 360 | 2011 | NTSC (NA)
|       | Konami Classics Vol. 1                                                   | Konami                                 | Xbox 360 | 2009 | NTSC (NA)
|       | Konami Classics Vol. 2                                                   | Konami                                 | Xbox 360 | 2009 | NTSC (NA)
|       | Kung Fu Panda                                                            | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | Kung Fu Panda 2                                                          | THQ                                    | Xbox 360 | 2011 | NTSC (NA)
|       | Kung Fu Panda: Showdown of Legendary Legends                             | Little Orbit                           | Xbox 360 | 2015 | NTSC (NA)
|       | Kung-Fu High Impact                                                      | UTV Ignition Games                     | Xbox 360 | 2011 | NTSC (NA)
|       | L.A. Noire                                                               | Rockstar Games                         | Xbox 360 | 2011 | NTSC (NA)
|       | L.A. Noire: The Complete Edition                                         | Rockstar Games                         | Xbox 360 | 2011 | NTSC (NA)
|       | Last Remnant, The                                                        | Square Enix                            | Xbox 360 | 2008 | NTSC (NA)
|       | Left 4 Dead                                                              | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Left 4 Dead 2                                                            | Electronic Arts                        | Xbox 360 | 2009 | NTSC (NA)
|       | Legend of Spyro: Dawn of the Dragon, The                                 | Sierra Entertainment                   | Xbox 360 | 2008 | NTSC (NA)
|       | Legend of the Guardians: The Owls of Ga'Hoole                            | Warner Bros. Interactive Entertainment | Xbox 360 | 2010 | NTSC (NA)
|       | Legendary                                                                | Gamecock Media Group                   | Xbox 360 | 2008 | NTSC (NA)
|       | Legends of Wrestlemania                                                  | THQ                                    | Xbox 360 | 2009 | NTSC (NA)
|       | LEGO Batman 2: DC Super Heroes                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | LEGO Batman 3: Beyond Gotham                                             | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | NTSC (NA)
|       | LEGO Batman: The Videogame                                               | Warner Bros. Interactive Entertainment | Xbox 360 | 2008 | NTSC (NA)
|       | LEGO Batman: The Videogame / Pure                                        | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (NA)
|       | Lego Dimensions                                                          | Warner Bros. Interactive Entertainment | Xbox 360 | 2015 | NTSC (NA)
|       | LEGO Harry Potter: Years 1-4                                             | Warner Bros. Interactive Entertainment | Xbox 360 | 2010 | NTSC (NA)
|       | LEGO Harry Potter: Years 5-7                                             | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | LEGO Indiana Jones 2: The Adventure Continues                            | LucasArts                              | Xbox 360 | 2009 | NTSC (NA)
|       | LEGO Indiana Jones: The Original Adventures                              | LucasArts                              | Xbox 360 | 2008 | NTSC (NA)
|       | LEGO Indiana Jones: The Original Adventures / DreamWorks Kung Fu Panda   | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | LEGO Indiana Jones: The Original Adventures / Kung Fu Panda              | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | LEGO Jurassic World                                                      | Warner Bros. Interactive Entertainment | Xbox 360 | 2015 | NTSC (NA)
|       | LEGO Marvel Super Heroes                                                 | Warner Bros. Interactive Entertainment | Xbox 360 | 2013 | NTSC (NA)
|       | LEGO Marvel's Avengers                                                   | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | NTSC (NA)
|       | LEGO Movie Videogame, The                                                | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | NTSC (NA)
|       | LEGO Pirates of the Caribbean: The Video Game                            | Disney Interactive Studios             | Xbox 360 | 2011 | NTSC (NA)
|       | LEGO Rock Band                                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2009 | NTSC (NA)
|       | LEGO Star Wars II: The Original Trilogy                                  | LucasArts                              | Xbox 360 | 2006 | NTSC (NA)
|       | LEGO Star Wars III: The Clone Wars                                       | LucasArts                              | Xbox 360 | 2011 | NTSC (NA)
|       | LEGO Star Wars: The Complete Saga                                        | LucasArts                              | Xbox 360 | 2007 | NTSC (NA)
|       | LEGO Star Wars: The Force Awakens                                        | Warner Bros. Interactive Entertainment | Xbox 360 | 2016 | NTSC (NA)
|       | LEGO The Hobbit                                                          | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | NTSC (NA)
|       | LEGO The Lord of the Rings                                               | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Leisure Suit Larry: Box Office Bust                                      | Funsta                                 | Xbox 360 | 2009 | NTSC (NA)
|       | Let's Cheer!                                                             | 2K Play                                | Xbox 360 | 2011 | NTSC (NA)
|       | Let's Dance                                                              | Maximum Family Games                   | Xbox 360 | 2012 | NTSC (NA)
|       | Lightning Returns: Final Fantasy XIII                                    | Square Enix                            | Xbox 360 | 2014 | NTSC (NA)
|       | Lips                                                                     | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | Lips: Number One Hits                                                    | Microsoft Game Studios                 | Xbox 360 | 2009 | NTSC (NA)
|       | Lips: Party Classics                                                     | Microsoft Game Studios                 | Xbox 360 | 2010 | NTSC (NA)
|       | Little League World Series Baseball 2010                                 | Activision                             | Xbox 360 | 2010 | NTSC (NA)
|       | Lollipop Chainsaw                                                        | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | London 2012 - The Official Video Game of the Olympic Games               | Sega                                   | Xbox 360 | 2012 | NTSC (NA)
|       | London 2012 - The Official Video Game of the Olympic Games               | Sega                                   | Xbox 360 | 2012 | NTSC (NA)
|       | Looney Tunes: Acme Arsenal                                               | Warner Bros. Interactive Entertainment | Xbox 360 | 2007 | NTSC (NA)
|       | Lord of the Rings, The Battle for Middle-earth II, The                   | EA Games                               | Xbox 360 | 2006 | NTSC (NA)
|       | Lord of the Rings: Conquest, The                                         | Electronic Arts                        | Xbox 360 | 2009 | NTSC (NA)
|       | Lord of the Rings: The Battle for Middle-Earth II, The                   | EA Games                               | Xbox 360 | 2006 | NTSC (NA)
|       | Lord of the Rings: War in the North, The                                 | Warner Bros. Interactive Entertainment | Xbox 360 | 2011 | NTSC (NA)
|       | Lost Odyssey                                                             | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | Lost Planet 2                                                            | Capcom                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Lost Planet 3                                                            | Capcom                                 | Xbox 360 | 2013 | NTSC (NA)
|       | Lost Planet: Extreme Condition                                           | Capcom                                 | Xbox 360 | 2007 | NTSC (NA)
|       | Lost Planet: Extreme Condition Colonies Edition                          | Capcom                                 | Xbox 360 | 2008 | NTSC (NA)
|       | Lost: Via Domus                                                          | Ubisoft                                | Xbox 360 | 2008 | NTSC (NA)
|       | Lucha Libre AAA Heroes del Ring                                          | Konami                                 | Xbox 360 | 2010 | NTSC (NA)
|       | Madagascar 3: The Video Game                                             | D3Publisher                            | Xbox 360 | 2012 | NTSC (NA)
|       | Madagascar Kartz                                                         | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Madagascar: Escape 2 Africa                                              | Activision                             | Xbox 360 | 2008 | NTSC (NA)
|       | Madden NFL 06                                                            | EA Sports                              | Xbox 360 | 2005 | NTSC (NA)
|       | Madden NFL 07                                                            | EA Sports                              | Xbox 360 | 2006 | NTSC (NA)
|       | Madden NFL 08                                                            | EA Sports                              | Xbox 360 | 2007 | NTSC (NA)
|       | Madden NFL 09                                                            | Electronic Arts                        | Xbox 360 | 2008 | NTSC (NA)
|       | Madden NFL 10                                                            | Electronic Arts                        | Xbox 360 | 2009 | NTSC (NA)
|       | Madden NFL 11                                                            | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Madden NFL 12                                                            | EA Sports                              | Xbox 360 | 2011 | NTSC (NA)
|       | Madden NFL 13                                                            | EA Sports                              | Xbox 360 | 2012 | NTSC (NA)
|       | Madden NFL 15                                                            | Electronic Arts                        | Xbox 360 | 2014 | NTSC (NA)
|       | Madden NFL 16                                                            | EA Sports                              | Xbox 360 | 2015 | NTSC (NA)
|       | Madden NFL 17                                                            | EA Sports                              | Xbox 360 | 2016 | NTSC (NA)
|       | Madden NFL 25                                                            | Electronic Arts                        | Xbox 360 | 2013 | NTSC (NA)
|       | Mafia II                                                                 | 2K Games                               | Xbox 360 | 2010 | NTSC (NA)
|       | Mafia II: Director's Cut                                                 | 2K Games                               | Xbox 360 | 2011 | NTSC (NA)
|       | Magna Carta 2                                                            | Namco Bandai Games America             | Xbox 360 | 2009 | NTSC (NA)
|       | Majin and the Forsaken Kingdom                                           | Namco Bandai Games America             | Xbox 360 | 2010 | NTSC (NA)
|       | Major League Baseball 2K10                                               | 2K Sports                              | Xbox 360 | 2010 | NTSC (NA)
|       | Major League Baseball 2K11                                               | 2K Sports                              | Xbox 360 | 2011 | NTSC (NA)
|       | Major League Baseball 2K12                                               | Take-Two Interactive                   | Xbox 360 | 2012 | NTSC (NA)
|       | Major League Baseball 2K6                                                | 2K Sports                              | Xbox 360 | 2006 | NTSC (NA)
|       | Major League Baseball 2K7                                                | 2K Sports                              | Xbox 360 | 2007 | NTSC (NA)
|       | Major League Baseball 2K8                                                | 2K Sports                              | Xbox 360 | 2008 | NTSC (NA)
|       | Major League Baseball 2K9                                                | 2K Sports                              | Xbox 360 | 2009 | NTSC (NA)
|       | Man vs. Wild with Bear Grylls                                            | Crave                                  | Xbox 360 | 2011 | NTSC (NA)
|       | Marvel Avengers: Battle for Earth                                        | Ubisoft                                | Xbox 360 | 2012 | NTSC (NA)
|       | Marvel Super Hero Squad: Comic Combat                                    | THQ                                    | Xbox 360 | 2011 | NTSC (NA)
|       | Marvel Super Hero Squad: The Infinity Gauntlet                           | THQ                                    | Xbox 360 | 2010 | NTSC (NA)
|       | Marvel vs. Capcom 3: Fate of Two Worlds                                  | Capcom                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Marvel: Ultimate Alliance                                                | Activision                             | Xbox 360 | 2006 | NTSC (NA)
|       | Marvel: Ultimate Alliance / Forza Motorsport 2                           | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (NA)
|       | Marvel: Ultimate Alliance 2                                              | Activision                             | Xbox 360 | 2009 | NTSC (NA)
|       | Mass Effect                                                              | Microsoft Game Studios                 | Xbox 360 | 2007 | NTSC (NA)
|       | Mass Effect 2                                                            | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Mass Effect 3                                                            | Electronic Arts                        | Xbox 360 | 2012 | NTSC (NA)
|       | Mass Effect Trilogy                                                      | Electronic Arts                        | Xbox 360 | 2012 | NTSC (NA)
|       | Max Payne 3                                                              | Rockstar Games                         | Xbox 360 | 2012 | NTSC (NA)
|       | Mayhem                                                                   | Zoo Games                              | Xbox 360 | 2011 | NTSC (NA)
|       | Medal of Honor                                                           | Electronic Arts                        | Xbox 360 | 2010 | NTSC (NA)
|       | Medal of Honor: Airborne                                                 | Electronic Arts                        | Xbox 360 | 2007 | NTSC (NA)
|       | Medal of Honor: Warfighter                                               | Electronic Arts                        | Xbox 360 | 2012 | NTSC (NA)
|       | Meet the Robinsons                                                       | Disney Interactive Studios             | Xbox 360 | 2007 | NTSC (NA)
|       | Megamind: Ultimate Showdown                                              | THQ                                    | Xbox 360 | 2010 | NTSC (NA)
|       | Men in Black: Alien Crisis                                               | Activision                             | Xbox 360 | 2012 | NTSC (NA)
|       | Mercenaries 2: World in Flames                                           | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
|       | Metal Gear Rising: Revengeance                                           | Konami                                 | Xbox 360 | 2013 | NTSC (NA)
|       | Metal Gear Solid HD Collection                                           | Konami                                 | Xbox 360 | 2011 | NTSC (NA)
|       | Metal Gear Solid V: Ground Zeroes                                        | Konami                                 | Xbox 360 | 2014 | NTSC (NA)
|       | Metal Gear Solid V: The Phantom Pain                                     | Konami                                 | Xbox 360 | 2015 | NTSC (NA)
|       | Metro 2033                                                               | THQ                                    | Xbox 360 | 2010 | NTSC (NA)
|       | Metro: Last Light                                                        | Deep Silver                            | Xbox 360 | 2013 | NTSC (NA)
|       | Michael Jackson The Experience                                           | Ubisoft                                | Xbox 360 | 2011 | NTSC (NA)
|       | Michael Phelps: Push the Limit                                           | 505 Games                              | Xbox 360 | 2011 | NTSC (NA)
|       | Microsoft Children's Miracle Network Games Bundle                        | Microsoft Game Studios                 | Xbox 360 | 2008 | NTSC (NA)
|       | Middle-earth: Shadow of Mordor                                           | Warner Bros. Interactive Entertainment | Xbox 360 | 2014 | NTSC (NA)
|       | Midnight Club: Los Angeles                                               | Rockstar Games                         | Xbox 360 | 2008 | NTSC (NA)
|       | Midway Arcade Origins                                                    | Warner Bros. Interactive Entertainment | Xbox 360 | 2012 | NTSC (NA)
|       | Mindjack                                                                 | Square Enix                            | Xbox 360 | 2011 | NTSC (NA)
|       | Minecraft: Story Mode - A Telltale Games Series - Season Pass Disc       | Telltale Games                         | Xbox 360 | 2015 | NTSC (NA)
|       | Minecraft: Story Mode - A Telltale Games Series - The Complete Adventure | Telltale Games                         | Xbox 360 | 2016 | NTSC (NA)
|       | Minecraft: Story Mode - Season Two: The Telltale Series                  | Telltale Games                         | Xbox 360 | 2017 | NTSC (NA)
|       | Minecraft: Xbox 360 Edition                                              | Microsoft Game Studios                 | Xbox 360 | 2013 | NTSC (NA)
|       | Mini Ninjas                                                              | Eidos Interactive                      | Xbox 360 | 2009 | NTSC (NA)
|       | Minute to Win It                                                         | Zoo Games                              | Xbox 360 | 2011 | NTSC (NA)
|       | Mirror's Edge                                                            | EA Games                               | Xbox 360 | 2008 | NTSC (NA)
